Unnamed: 0,NOC,continent
82,NOR,Europe
135,EST,Europe
171,BLR,Europe
177,GRE,Europe
186,USA,America
195,RUS,Europe
199,FRA,Europe
203,NCA,America
235,IRQ,Asia
246,QAT,Asia
248,PAK,Asia
289,EGY,Africa
471,AUS,Oceania
541,INA,Asia
592,AZE,Asia
610,UZB,Asia
616,TJK,Asia
624,KGZ,Asia
652,JPN,Asia
667,ESP,Europe
745,TUR,Asia
870,MLI,Africa
903,SWE,Europe
1005,BRA,America
1067,JOR,Asia
1069,SUD,Africa
1071,PLE,Asia
1079,LBA,Africa
1081,SOM,Africa
1101,MEX,America
1183,IND,Asia
1240,GBR,Europe
1382,GER,Europe
1526,NZL,Oceania
1808,LTU,Europe
1861,NED,Europe
1880,UKR,Europe
1949,ETH,Africa
2016,ITA,Europe
2073,ALG,Africa
2083,ARM,Asia
2096,MLT,Europe
2258,CUB,America
2271,BIZ,America
2292,PUR,America
2357,MAR,Africa
2547,FIN,Europe
2611,CHN,Asia
2619,ARG,America
2757,BER,America
2762,KAZ,Asia
2794,UGA,Africa
2808,HUN,Europe
2887,SAM,Oceania
2943,CYP,Asia
2950,IRI,Asia
2982,BAN,Asia
3004,NGR,Africa
3148,SYR,Asia
3163,YEM,Asia
3169,KSA,Asia
3205,LIB,Asia
3240,KUW,Asia
3251,UAE,Asia
3275,BRN,Asia
3294,OMA,Asia
3881,BEN,Africa
3932,NIG,Africa
4351,BUL,Europe
4518,TTO,America
4525,CAN,America
4543,ISL,Europe
4695,CAF,Africa
4734,MDV,Asia
4956,SUI,Europe
4994,AUT,Europe
5030,JAM,America
5069,BAR,America
5139,CIV,Africa
5242,ANG,Africa
5245,POR,Europe
5546,VEN,America
5862,TLS,Asia
6026,NAM,Africa
6061,BAH,America
6098,SMR,Europe
6412,KOR,Asia
6462,BRU,Asia
6534,CRO,Europe
6633,DEN,Europe
7163,COL,America
7500,MAD,Africa
7572,CZE,Europe
7599,MGL,Asia
7903,GHA,Africa
8245,ROU,Europe
8426,LAO,Asia
8971,IRL,Europe
9098,GUA,America
9644,DOM,America
9656,CHI,America
9663,CRC,America
9891,ISR,Asia
10010,GEO,Asia
10114,ZIM,Africa
10122,GRN,America
10564,CMR,Africa
11037,SEY,Africa
11104,SCG,None
11349,TUN,Africa
11627,AFG,Asia
11746,SVK,Europe
11837,SLO,Europe
11907,COD,Africa
12322,SEN,Africa
12533,MAS,Asia
12597,NEP,Asia
12648,ANT,America
12863,CGO,Africa
12975,POL,Europe
13875,SLE,Africa
14165,HON,America
14268,KEN,Africa
14553,PAR,America
14700,RSA,Africa
15652,BOT,Africa
15666,TKM,Asia
16637,TAN,Africa
20008,BEL,Europe
20211,AND,Europe
20617,HAI,America
22029,GAB,Africa
22442,ARU,America
22507,MDA,Europe
23079,PER,America
24551,PNG,Oceania
24966,FSM,Oceania
25512,THA,Asia
26962,TOG,Africa
27341,SGP,Asia
29261,PHI,Asia
31311,MRI,Africa
31835,FIJ,Oceania
32448,GUY,America
33834,ECU,America
34953,GBS,Africa
35161,GEQ,Africa
37546,LAT,Europe
38273,HKG,Asia
38406,TPE,Asia
40193,ZAM,Africa
40299,MAW,Africa
40666,BHU,Asia
40672,PRK,Asia
42912,GUM,Oceania
43444,ALB,Europe
43460,URU,America
43562,SKN,America
44539,SRI,Asia
44559,PAN,America
45556,MOZ,Africa
45783,IVB,America
47845,STP,Africa
48025,SUR,America
51117,BOL,America
51681,LUX,Europe
52568,VIN,America
54346,NRU,Oceania
55033,MON,Europe
55040,GUI,Africa
55724,ESA,America
56096,RWA,Africa
56318,COM,Africa
56368,SWZ,Africa
58310,VIE,Asia
60157,ISV,America
67231,BIH,Europe
70512,PLW,Oceania
72460,CAY,America
74217,CPV,Africa
74628,BDI,Africa
77608,LIE,Europe
77930,LCA,America
80756,AHO,None
87852,ERI,Africa
90964,COK,Oceania
92324,TGA,Oceania
93848,CAM,Asia
101909,MKD,Europe
110650,DMA,America
112688,MTN,Africa
112768,VAN,Oceania
115881,SOL,Oceania
131289,ASA,Oceania
134446,LES,Africa
166859,KIR,Oceania
167286,CHA,Africa
168097,MYA,Asia
172385,GAM,Africa
179272,BUR,Africa
239204,LBR,Africa
