Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
2004,Greece,Athens,United States,USA,36,39,26
2004,Greece,Athens,China,CHN,32,17,14
2004,Greece,Athens,Russia,RUS,28,26,36
2004,Greece,Athens,Australia,AUS,17,16,17
2004,Greece,Athens,Japan,JPN,16,9,12
2004,Greece,Athens,Germany,GER,13,16,20
2004,Greece,Athens,France,FRA,11,9,13
2004,Greece,Athens,Italy,ITA,10,11,11
2004,Greece,Athens,Great Britain,GBR,9,9,12
2004,Greece,Athens,Cuba,CUB,9,7,11
