NOC,Medal,Count
ARG,Bronze,4
ARG,Gold,2
AUS,Bronze,17
AUS,Gold,17
AUS,Silver,16
AUT,Bronze,1
AUT,Gold,2
AUT,Silver,4
AZE,Bronze,4
AZE,Gold,1
BAH,Bronze,1
BAH,Gold,1
BEL,Bronze,2
BEL,Gold,1
BLR,Bronze,6
BLR,Gold,2
BLR,Silver,5
BRA,Bronze,3
BRA,Gold,5
BRA,Silver,2
BUL,Bronze,9
BUL,Gold,2
BUL,Silver,1
CAN,Bronze,3
CAN,Gold,3
CAN,Silver,6
CHI,Bronze,1
CHI,Gold,2
CHN,Bronze,14
CHN,Gold,32
CHN,Silver,17
CMR,Gold,1
COL,Bronze,2
CRO,Bronze,2
CRO,Gold,1
CRO,Silver,2
CUB,Bronze,11
CUB,Gold,9
CUB,Silver,7
CZE,Bronze,5
CZE,Gold,1
CZE,Silver,3
DEN,Bronze,5
DEN,Gold,2
DEN,Silver,1
DOM,Gold,1
EGY,Bronze,3
EGY,Gold,1
EGY,Silver,1
ERI,Bronze,1
ESP,Bronze,6
ESP,Gold,3
ESP,Silver,11
EST,Bronze,2
EST,Silver,1
ETH,Bronze,2
ETH,Gold,2
ETH,Silver,3
FIN,Silver,2
FRA,Bronze,13
FRA,Gold,11
FRA,Silver,9
GBR,Bronze,12
GBR,Gold,9
GBR,Silver,9
GEO,Gold,2
GEO,Silver,2
GER,Bronze,20
GER,Gold,13
GER,Silver,16
GRE,Bronze,4
GRE,Gold,6
GRE,Silver,6
HKG,Silver,1
HUN,Bronze,3
HUN,Gold,8
HUN,Silver,6
INA,Bronze,2
INA,Gold,1
INA,Silver,1
IND,Silver,1
IRI,Bronze,2
IRI,Gold,2
IRI,Silver,2
ISR,Bronze,1
ISR,Gold,1
ITA,Bronze,11
ITA,Gold,10
ITA,Silver,11
JAM,Bronze,2
JAM,Gold,2
JAM,Silver,1
JPN,Bronze,12
JPN,Gold,16
JPN,Silver,9
KAZ,Bronze,3
KAZ,Gold,1
KAZ,Silver,4
KEN,Bronze,2
KEN,Gold,1
KEN,Silver,4
KOR,Bronze,9
KOR,Gold,9
KOR,Silver,12
LAT,Silver,4
LTU,Gold,1
LTU,Silver,2
MAR,Gold,2
MAR,Silver,1
MEX,Bronze,1
MEX,Silver,3
MGL,Bronze,1
NED,Bronze,9
NED,Gold,4
NED,Silver,9
NGR,Bronze,2
NOR,Bronze,1
NOR,Gold,5
NZL,Gold,3
NZL,Silver,2
PAR,Silver,1
POL,Bronze,5
POL,Gold,3
POL,Silver,2
POR,Bronze,1
POR,Silver,2
PRK,Bronze,1
PRK,Silver,4
ROU,Bronze,6
ROU,Gold,8
ROU,Silver,5
RSA,Bronze,2
RSA,Gold,1
RSA,Silver,3
RUS,Bronze,36
RUS,Gold,28
RUS,Silver,26
SCG,Silver,2
SLO,Bronze,3
SLO,Silver,1
SUI,Bronze,3
SUI,Gold,1
SUI,Silver,1
SVK,Bronze,2
SVK,Gold,2
SVK,Silver,2
SWE,Bronze,1
SWE,Gold,4
SWE,Silver,2
SYR,Bronze,1
THA,Bronze,4
THA,Gold,3
THA,Silver,1
TPE,Bronze,1
TPE,Gold,2
TPE,Silver,2
TTO,Bronze,1
TUR,Bronze,5
TUR,Gold,3
TUR,Silver,3
UAE,Gold,1
UKR,Bronze,9
UKR,Gold,8
UKR,Silver,5
USA,Bronze,26
USA,Gold,36
USA,Silver,39
UZB,Bronze,2
UZB,Gold,2
UZB,Silver,1
VEN,Bronze,2
ZIM,Bronze,1
ZIM,Gold,1
ZIM,Silver,1
