Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1948,Great Britain,London,United States,USA,38,27,19
1948,Great Britain,London,Sweden,SWE,16,11,17
1948,Great Britain,London,Hungary,HUN,10,5,12
1948,Great Britain,London,France,FRA,10,6,13
1948,Great Britain,London,Finland,FIN,8,7,5
1948,Great Britain,London,Italy,ITA,8,11,8
1948,Great Britain,London,Czechoslovakia,TCH,6,2,3
1948,Great Britain,London,Turkey,TUR,6,4,2
1948,Great Britain,London,Denmark,DEN,5,7,8
1948,Great Britain,London,Switzerland,SUI,5,10,5
