NOC,Medal,Count
ARG,Bronze,1
ARG,Gold,3
ARG,Silver,3
AUS,Bronze,5
AUS,Gold,2
AUS,Silver,6
AUT,Bronze,4
AUT,Gold,2
AUT,Silver,2
BEL,Bronze,3
BEL,Gold,2
BEL,Silver,2
BRA,Bronze,1
CAN,Bronze,2
CAN,Silver,2
CUB,Silver,1
DEN,Bronze,9
DEN,Gold,5
DEN,Silver,8
EGY,Bronze,1
EGY,Gold,2
EGY,Silver,2
ESP,Silver,1
FIN,Bronze,6
FIN,Gold,8
FIN,Silver,8
FRA,Bronze,15
FRA,Gold,11
FRA,Silver,6
GBR,Bronze,7
GBR,Gold,4
GBR,Silver,16
HUN,Bronze,12
HUN,Gold,10
HUN,Silver,5
IND,Gold,1
IRI,Bronze,1
IRL,Bronze,1
ITA,Bronze,10
ITA,Gold,9
ITA,Silver,12
JAM,Gold,1
JAM,Silver,2
KOR,Bronze,2
MEX,Bronze,2
MEX,Gold,2
MEX,Silver,1
NED,Bronze,9
NED,Gold,5
NED,Silver,2
NOR,Bronze,3
NOR,Gold,1
NOR,Silver,3
PAN,Bronze,2
PER,Gold,1
POL,Bronze,1
POL,Gold,1
POR,Bronze,1
POR,Silver,1
PUR,Bronze,1
RSA,Bronze,2
RSA,Gold,2
RSA,Silver,2
SRI,Silver,1
SUI,Bronze,5
SUI,Gold,5
SUI,Silver,12
SWE,Bronze,18
SWE,Gold,17
SWE,Silver,11
TCH,Bronze,3
TCH,Gold,6
TCH,Silver,2
TTO,Silver,1
TUR,Bronze,2
TUR,Gold,6
TUR,Silver,4
URU,Bronze,1
URU,Silver,1
USA,Bronze,19
USA,Gold,38
USA,Silver,27
YUG,Silver,2
