Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1904,United States,St. Louis,Cuba,CUB,3,0,0
1904,United States,St. Louis,Hungary,HUN,2,1,1
1904,United States,St. Louis,Mixed team,ZZX,2,1,1
1904,United States,St. Louis,United States,USA,76,78,77
1904,United States,St. Louis,Germany,GER,4,5,6
1904,United States,St. Louis,Canada,CAN,4,1,1
1904,United States,St. Louis,Greece,GRE,1,0,1
1904,United States,St. Louis,Australia,AUS,0,3,1
1904,United States,St. Louis,France,FRA,0,1,0
1904,United States,St. Louis,Switzerland,SUI,1,0,2
1904,United States,St. Louis,Norway,NOR,2,0,0
1904,United States,St. Louis,Austria,AUT,1,1,1
1904,United States,St. Louis,Great Britain,GBR,1,1,0
