Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1968,Mexico,Mexico City,United States,USA,45,28,34
1968,Mexico,Mexico City,Soviet Union,URS,29,32,30
1968,Mexico,Mexico City,Japan,JPN,11,7,7
1968,Mexico,Mexico City,Hungary,HUN,10,10,12
1968,Mexico,Mexico City,East Germany,GDR,9,9,7
1968,Mexico,Mexico City,Czechoslovakia,TCH,7,2,4
1968,Mexico,Mexico City,France,FRA,7,3,5
1968,Mexico,Mexico City,West Germany,FRG,5,11,10
1968,Mexico,Mexico City,Australia,AUS,5,7,5
1968,Mexico,Mexico City,Poland,POL,5,2,11
