NOC,Medal,Count
ARG,Bronze,2
AUS,Bronze,5
AUS,Gold,5
AUS,Silver,7
AUT,Bronze,2
AUT,Silver,2
BEL,Bronze,1
BEL,Silver,1
BRA,Bronze,2
BRA,Silver,1
BUL,Bronze,3
BUL,Gold,2
BUL,Silver,4
CAN,Bronze,1
CAN,Gold,1
CAN,Silver,3
CMR,Silver,1
CUB,Silver,4
DEN,Bronze,3
DEN,Gold,1
DEN,Silver,4
ETH,Gold,1
ETH,Silver,1
FIN,Bronze,1
FIN,Gold,1
FIN,Silver,2
FRA,Bronze,5
FRA,Gold,7
FRA,Silver,3
FRG,Bronze,10
FRG,Gold,5
FRG,Silver,11
GBR,Bronze,3
GBR,Gold,5
GBR,Silver,5
GDR,Bronze,7
GDR,Gold,9
GDR,Silver,9
GRE,Bronze,1
HUN,Bronze,12
HUN,Gold,10
HUN,Silver,10
IND,Bronze,1
IRI,Bronze,2
IRI,Gold,2
IRI,Silver,1
ITA,Bronze,9
ITA,Gold,3
ITA,Silver,4
JAM,Silver,1
JPN,Bronze,7
JPN,Gold,11
JPN,Silver,7
KEN,Bronze,2
KEN,Gold,3
KEN,Silver,4
KOR,Bronze,1
KOR,Silver,1
MEX,Bronze,3
MEX,Gold,3
MEX,Silver,3
MGL,Bronze,3
MGL,Silver,1
NED,Bronze,1
NED,Gold,3
NED,Silver,3
NOR,Gold,1
NOR,Silver,1
NZL,Bronze,2
NZL,Gold,1
PAK,Gold,1
POL,Bronze,11
POL,Gold,5
POL,Silver,2
ROU,Bronze,5
ROU,Gold,4
ROU,Silver,6
SUI,Bronze,4
SUI,Silver,1
SWE,Bronze,1
SWE,Gold,2
SWE,Silver,1
TCH,Bronze,4
TCH,Gold,7
TCH,Silver,2
TPE,Bronze,1
TUN,Bronze,1
TUN,Gold,1
TUR,Gold,2
UGA,Bronze,1
UGA,Silver,1
URS,Bronze,30
URS,Gold,29
URS,Silver,32
USA,Bronze,34
USA,Gold,45
USA,Silver,28
VEN,Gold,1
YUG,Bronze,2
YUG,Gold,3
YUG,Silver,3
