Unnamed: 0,NOC,continent
89,NOR,Europe
179,CMR,Africa
205,MEX,America
326,SUD,Africa
523,MAS,Asia
544,NGR,Africa
551,PHI,Asia
638,JPN,Asia
722,ARG,America
821,LIB,Asia
866,EGY,Africa
905,FRA,Europe
1006,POR,Europe
1076,PER,America
1113,TUR,Asia
1161,ESA,America
1175,GBR,Europe
1250,NED,Europe
1298,GHA,Africa
1430,BUL,Europe
1520,FRG,None
1830,PUR,America
1936,URS,None
2030,PAN,America
2261,CRC,America
2381,MAR,Africa
2399,URU,America
2478,PAK,Asia
2540,FIN,Europe
2643,AUT,Europe
2915,SWE,Europe
3485,IRQ,Asia
3945,ESP,Europe
3957,ITA,Europe
4168,BAH,America
4229,GUA,America
4231,CUB,America
4439,ETH,Africa
4446,BRA,America
4483,TCH,None
4572,ROU,Europe
4577,GRE,Europe
4869,HUN,Europe
4986,USA,America
5479,SUI,Europe
6006,POL,Europe
6257,GUY,America
6284,GDR,None
6373,KOR,Asia
6531,ECU,America
6697,DEN,Europe
6793,BIZ,America
6850,AUS,Oceania
7591,CAN,America
7880,YUG,None
8062,AHO,None
8081,NZL,Oceania
8397,IRI,Asia
8774,COL,America
8949,TTO,America
9150,NCA,America
10031,KEN,Africa
10048,BOL,America
10493,THA,Asia
10506,CHI,America
11323,TUN,Africa
11500,AFG,Asia
12416,BEL,Europe
12446,MLI,Africa
13103,SYR,Asia
13410,IRL,Europe
13871,GUI,Africa
14105,ISR,Asia
14148,HON,America
14714,COD,Africa
14902,MON,Europe
16708,MGL,Asia
18535,BER,America
21489,LIE,Europe
23634,ISV,America
27722,VEN,America
29836,JAM,America
31643,VNM,None
32457,BAR,America
34107,SEN,Africa
36257,DOM,America
38295,TPE,Asia
38364,IND,Asia
40272,TAN,Africa
41428,SGP,Asia
43252,SLE,Africa
44509,HKG,Asia
47863,PAR,America
48046,NIG,Africa
48327,KUW,Asia
53958,INA,Asia
55232,CIV,Africa
58472,UGA,Africa
70316,LUX,Europe
72051,SMR,Europe
79971,ISL,Europe
83773,MLT,Europe
96565,MYA,Asia
102077,CHA,Africa
112246,ZAM,Africa
114034,SRI,Asia
116737,LBA,Africa
130431,ALG,Africa
138920,FIJ,Oceania
153783,CAF,Africa
162153,SUR,America
196243,MAD,Africa
