Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1980,Soviet Union,Moscow,Soviet Union,URS,80,69,46
1980,Soviet Union,Moscow,East Germany,GDR,47,37,42
1980,Soviet Union,Moscow,Bulgaria,BUL,8,16,17
1980,Soviet Union,Moscow,Cuba,CUB,8,7,5
1980,Soviet Union,Moscow,Italy,ITA,8,3,4
1980,Soviet Union,Moscow,Hungary,HUN,7,10,15
1980,Soviet Union,Moscow,Romania,ROU,6,6,13
1980,Soviet Union,Moscow,France,FRA,6,5,3
1980,Soviet Union,Moscow,Great Britain,GBR,5,7,9
1980,Soviet Union,Moscow,Poland,POL,3,14,15
