NOC,Medal,Count
AUS,Bronze,5
AUS,Gold,2
AUS,Silver,2
AUT,Bronze,1
AUT,Gold,1
AUT,Silver,2
BEL,Gold,1
BRA,Bronze,2
BRA,Gold,2
BUL,Bronze,17
BUL,Gold,8
BUL,Silver,16
CUB,Bronze,5
CUB,Gold,8
CUB,Silver,7
DEN,Bronze,2
DEN,Gold,2
DEN,Silver,1
ESP,Bronze,2
ESP,Gold,1
ESP,Silver,3
ETH,Bronze,2
ETH,Gold,2
FIN,Bronze,4
FIN,Gold,3
FIN,Silver,1
FRA,Bronze,3
FRA,Gold,6
FRA,Silver,5
GBR,Bronze,9
GBR,Gold,5
GBR,Silver,7
GDR,Bronze,42
GDR,Gold,47
GDR,Silver,37
GRE,Bronze,2
GRE,Gold,1
GUY,Bronze,1
HUN,Bronze,15
HUN,Gold,7
HUN,Silver,10
IND,Gold,1
IRL,Bronze,1
IRL,Silver,1
ITA,Bronze,4
ITA,Gold,8
ITA,Silver,3
JAM,Bronze,3
LIB,Bronze,1
MEX,Bronze,3
MEX,Silver,1
MGL,Bronze,2
MGL,Silver,2
NED,Bronze,2
NED,Silver,1
POL,Bronze,15
POL,Gold,3
POL,Silver,14
PRK,Bronze,2
PRK,Silver,3
ROU,Bronze,13
ROU,Gold,6
ROU,Silver,6
SUI,Gold,2
SWE,Bronze,6
SWE,Gold,3
SWE,Silver,3
TAN,Silver,2
TCH,Bronze,9
TCH,Gold,2
TCH,Silver,3
UGA,Silver,1
URS,Bronze,46
URS,Gold,80
URS,Silver,69
VEN,Silver,1
YUG,Bronze,4
YUG,Gold,2
YUG,Silver,3
ZIM,Gold,1
