Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1980,Soviet Union,Moscow,Romania,ROU,6,6,13
1980,Soviet Union,Moscow,Hungary,HUN,7,10,15
1980,Soviet Union,Moscow,Sweden,SWE,3,3,6
1980,Soviet Union,Moscow,Poland,POL,3,14,15
1980,Soviet Union,Moscow,Great Britain,GBR,5,7,9
1980,Soviet Union,Moscow,France,FRA,6,5,3
1980,Soviet Union,Moscow,East Germany,GDR,47,37,42
1980,Soviet Union,Moscow,Soviet Union,URS,80,69,46
1980,Soviet Union,Moscow,Ethiopia,ETH,2,0,2
1980,Soviet Union,Moscow,Italy,ITA,8,3,4
1980,Soviet Union,Moscow,Cuba,CUB,8,7,5
1980,Soviet Union,Moscow,Bulgaria,BUL,8,16,17
1980,Soviet Union,Moscow,Tanzania,TAN,0,2,0
1980,Soviet Union,Moscow,Mexico,MEX,0,1,3
1980,Soviet Union,Moscow,Netherlands,NED,0,1,2
1980,Soviet Union,Moscow,Zimbabwe,ZIM,1,0,0
1980,Soviet Union,Moscow,North Korea,PRK,0,3,2
1980,Soviet Union,Moscow,Mongolia,MGL,0,2,2
1980,Soviet Union,Moscow,Jamaica,JAM,0,0,3
1980,Soviet Union,Moscow,Guyana,GUY,0,0,1
1980,Soviet Union,Moscow,Lebanon,LIB,0,0,1
1980,Soviet Union,Moscow,Ireland,IRL,0,1,1
1980,Soviet Union,Moscow,Uganda,UGA,0,1,0
1980,Soviet Union,Moscow,Venezuela,VEN,0,1,0
1980,Soviet Union,Moscow,Australia,AUS,2,2,5
1980,Soviet Union,Moscow,Denmark,DEN,2,1,2
1980,Soviet Union,Moscow,Brazil,BRA,2,0,2
1980,Soviet Union,Moscow,Finland,FIN,3,1,4
1980,Soviet Union,Moscow,Czechoslovakia,TCH,2,3,9
1980,Soviet Union,Moscow,Yugoslavia,YUG,2,3,4
1980,Soviet Union,Moscow,Switzerland,SUI,2,0,0
1980,Soviet Union,Moscow,Greece,GRE,1,0,2
1980,Soviet Union,Moscow,Belgium,BEL,1,0,0
1980,Soviet Union,Moscow,India,IND,1,0,0
1980,Soviet Union,Moscow,Spain,ESP,1,3,2
1980,Soviet Union,Moscow,Austria,AUT,1,2,1
