Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1972,West Germany,Munich,Soviet Union,URS,50,27,22
1972,West Germany,Munich,United States,USA,33,31,30
1972,West Germany,Munich,East Germany,GDR,20,23,23
1972,West Germany,Munich,Japan,JPN,13,8,8
1972,West Germany,Munich,West Germany,FRG,13,11,16
1972,West Germany,Munich,Australia,AUS,8,7,2
1972,West Germany,Munich,Poland,POL,7,5,9
1972,West Germany,Munich,Hungary,HUN,6,13,16
1972,West Germany,Munich,Bulgaria,BUL,6,10,5
1972,West Germany,Munich,Italy,ITA,5,3,10
