Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1972,Munich,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,10M Platform,Bronze
1972,Munich,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,10M Platform,Gold
1972,Munich,Aquatics,Diving,"RYDZE, Richard Anthony",USA,Men,10M Platform,Silver
1972,Munich,Aquatics,Diving,"JANICKE, Marina",GDR,Women,10M Platform,Bronze
1972,Munich,Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,10M Platform,Gold
1972,Munich,Aquatics,Diving,"DUCHKOVA, Milena",TCH,Women,10M Platform,Silver
1972,Munich,Aquatics,Diving,"LINCOLN, Craig Howard",USA,Men,3M Springboard,Bronze
1972,Munich,Aquatics,Diving,"VASIN, Vladimir",URS,Men,3M Springboard,Gold
1972,Munich,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3M Springboard,Silver
1972,Munich,Aquatics,Diving,"JANICKE, Marina",GDR,Women,3M Springboard,Bronze
1972,Munich,Aquatics,Diving,"KING, Maxine Joyce",USA,Women,3M Springboard,Gold
1972,Munich,Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,3M Springboard,Silver
1972,Munich,Aquatics,Swimming,"MURPHY, John Joseph",USA,Men,100M Backstroke,Bronze
1972,Munich,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,100M Backstroke,Gold
1972,Munich,Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,100M Backstroke,Silver
1972,Munich,Aquatics,Swimming,"ATWOOD, Susanne Jean",USA,Women,100M Backstroke,Bronze
1972,Munich,Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,100M Backstroke,Gold
1972,Munich,Aquatics,Swimming,"GYARMATI, Andrea",HUN,Women,100M Backstroke,Silver
1972,Munich,Aquatics,Swimming,"HENCKEN, John Frederick",USA,Men,100M Breaststroke,Bronze
1972,Munich,Aquatics,Swimming,"TAGUCHI, Nobutaka",JPN,Men,100M Breaststroke,Gold
1972,Munich,Aquatics,Swimming,"BRUCE, Thomas Edwin",USA,Men,100M Breaststroke,Silver
1972,Munich,Aquatics,Swimming,"WHITFIELD, Beverley Joy",AUS,Women,100M Breaststroke,Bronze
1972,Munich,Aquatics,Swimming,"CARR, Catherine L.",USA,Women,100M Breaststroke,Gold
1972,Munich,Aquatics,Swimming,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Women,100M Breaststroke,Silver
1972,Munich,Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,100M Butterfly,Bronze
1972,Munich,Aquatics,Swimming,"SPITZ, Mark",USA,Men,100M Butterfly,Gold
1972,Munich,Aquatics,Swimming,"ROBERTSON, Bruce Richard",CAN,Men,100M Butterfly,Silver
1972,Munich,Aquatics,Swimming,"GYARMATI, Andrea",HUN,Women,100M Butterfly,Bronze
1972,Munich,Aquatics,Swimming,"AOKI, Mayumi",JPN,Women,100M Butterfly,Gold
1972,Munich,Aquatics,Swimming,"BEIER, Roswitha",GDR,Women,100M Butterfly,Silver
1972,Munich,Aquatics,Swimming,"BURE, Vladimir",URS,Men,100M Freestyle,Bronze
1972,Munich,Aquatics,Swimming,"SPITZ, Mark",USA,Men,100M Freestyle,Gold
1972,Munich,Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,100M Freestyle,Silver
1972,Munich,Aquatics,Swimming,"GOULD, Shane",AUS,Women,100M Freestyle,Bronze
1972,Munich,Aquatics,Swimming,"NEILSON, Alexandra Lynn",USA,Women,100M Freestyle,Gold
1972,Munich,Aquatics,Swimming,"BABASHOFF, Shirley Farber",USA,Women,100M Freestyle,Silver
1972,Munich,Aquatics,Swimming,"NORTHWAY, Douglas Dale",USA,Men,1500M Freestyle,Bronze
1972,Munich,Aquatics,Swimming,"BURTON, Michael Jay",USA,Men,1500M Freestyle,Gold
1972,Munich,Aquatics,Swimming,"WINDEATT, Graham Claud",AUS,Men,1500M Freestyle,Silver
1972,Munich,Aquatics,Swimming,"IVEY, Mitchell",USA,Men,200M Backstroke,Bronze
1972,Munich,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,200M Backstroke,Gold
1972,Munich,Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,200M Backstroke,Silver
1972,Munich,Aquatics,Swimming,"GURR, Donna Marie",CAN,Women,200M Backstroke,Bronze
1972,Munich,Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,200M Backstroke,Gold
1972,Munich,Aquatics,Swimming,"ATWOOD, Susanne Jean",USA,Women,200M Backstroke,Silver
1972,Munich,Aquatics,Swimming,"TAGUCHI, Nobutaka",JPN,Men,200M Breaststroke,Bronze
1972,Munich,Aquatics,Swimming,"HENCKEN, John Frederick",USA,Men,200M Breaststroke,Gold
1972,Munich,Aquatics,Swimming,"WILKIE, David Andrew",GBR,Men,200M Breaststroke,Silver
1972,Munich,Aquatics,Swimming,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Women,200M Breaststroke,Bronze
1972,Munich,Aquatics,Swimming,"WHITFIELD, Beverley Joy",AUS,Women,200M Breaststroke,Gold
1972,Munich,Aquatics,Swimming,"SCHOENFIELD, Dana Lee",USA,Women,200M Breaststroke,Silver
1972,Munich,Aquatics,Swimming,"BACKHAUS, Robin James",USA,Men,200M Butterfly,Bronze
1972,Munich,Aquatics,Swimming,"SPITZ, Mark",USA,Men,200M Butterfly,Gold
1972,Munich,Aquatics,Swimming,"HALL, Gary Wayne",USA,Men,200M Butterfly,Silver
1972,Munich,Aquatics,Swimming,"DANIEL, Eleanor Suzanne",USA,Women,200M Butterfly,Bronze
1972,Munich,Aquatics,Swimming,"MOE-THORNTON, Karen Patricia",USA,Women,200M Butterfly,Gold
1972,Munich,Aquatics,Swimming,"COLELLA, Lynn Ann",USA,Women,200M Butterfly,Silver
1972,Munich,Aquatics,Swimming,"LAMPE, Werner",FRG,Men,200M Freestyle,Bronze
1972,Munich,Aquatics,Swimming,"SPITZ, Mark",USA,Men,200M Freestyle,Gold
1972,Munich,Aquatics,Swimming,"GENTER, Robert Steven",USA,Men,200M Freestyle,Silver
1972,Munich,Aquatics,Swimming,"ROTHHAMMER, Keena Ruth",USA,Women,200M Freestyle,Bronze
