NOC,Medal,Count
ARG,Silver,1
AUS,Bronze,2
AUS,Gold,8
AUS,Silver,7
AUT,Bronze,2
AUT,Silver,1
BEL,Silver,2
BRA,Bronze,2
BUL,Bronze,5
BUL,Gold,6
BUL,Silver,10
CAN,Bronze,3
CAN,Silver,2
COL,Bronze,2
COL,Silver,1
CUB,Bronze,4
CUB,Gold,3
CUB,Silver,1
DEN,Gold,1
ESP,Bronze,1
ETH,Bronze,2
FIN,Bronze,4
FIN,Gold,3
FIN,Silver,1
FRA,Bronze,7
FRA,Gold,2
FRA,Silver,4
FRG,Bronze,16
FRG,Gold,13
FRG,Silver,11
GBR,Bronze,9
GBR,Gold,4
GBR,Silver,5
GDR,Bronze,23
GDR,Gold,20
GDR,Silver,23
GHA,Bronze,1
GRE,Silver,2
HUN,Bronze,16
HUN,Gold,6
HUN,Silver,13
IND,Bronze,1
IRI,Bronze,1
IRI,Silver,2
ITA,Bronze,10
ITA,Gold,5
ITA,Silver,3
JAM,Bronze,1
JPN,Bronze,8
JPN,Gold,13
JPN,Silver,8
KEN,Bronze,4
KEN,Gold,2
KEN,Silver,3
KOR,Silver,1
LIB,Silver,1
MEX,Silver,1
MGL,Silver,1
NED,Bronze,1
NED,Gold,3
NED,Silver,1
NGR,Bronze,1
NIG,Bronze,1
NOR,Bronze,1
NOR,Gold,2
NOR,Silver,1
NZL,Bronze,1
NZL,Gold,1
NZL,Silver,1
PAK,Silver,1
POL,Bronze,9
POL,Gold,7
POL,Silver,5
PRK,Bronze,3
PRK,Gold,1
PRK,Silver,1
ROU,Bronze,7
ROU,Gold,3
ROU,Silver,6
SUI,Silver,3
SWE,Bronze,6
SWE,Gold,4
SWE,Silver,6
TCH,Bronze,2
TCH,Gold,2
TCH,Silver,4
TUN,Silver,1
TUR,Silver,1
UGA,Gold,1
UGA,Silver,1
URS,Bronze,22
URS,Gold,50
URS,Silver,27
USA,Bronze,30
USA,Gold,33
USA,Silver,31
YUG,Bronze,2
YUG,Gold,2
YUG,Silver,1
