Unnamed: 0,NOC,continent
94,EST,Europe
124,NOR,Europe
209,HUN,Europe
214,ITA,Europe
371,EGY,Africa
625,JPN,Asia
695,MON,Europe
786,GBR,Europe
876,ROU,Europe
1267,MEX,America
1274,CHI,America
1345,USA,America
1373,GER,Europe
1484,CAN,America
1555,TUR,Asia
1570,BEL,Europe
1707,URU,America
1717,PHI,Asia
1751,SWE,Europe
1894,SUI,Europe
1950,AFG,Asia
2316,ARG,America
2384,FIN,Europe
3958,BRA,America
3964,POL,Europe
4184,PER,America
4952,FRA,Europe
5034,IND,Asia
5504,AUT,Europe
6595,DEN,Europe
6902,LAT,Europe
7398,POR,Europe
7728,BUL,Europe
8866,GRE,Europe
8926,NZL,Oceania
10903,TCH,None
12115,AUS,Oceania
13016,NED,Europe
13058,YUG,None
14075,CHN,Asia
18534,BER,America
18819,MLT,Europe
19296,RSA,Africa
41711,LUX,Europe
44093,BOL,America
51125,CRC,America
52886,COL,America
73084,LIE,Europe
87372,ISL,Europe
