NOC,Medal,Count
ARG,Bronze,3
ARG,Gold,2
ARG,Silver,2
AUS,Bronze,1
AUT,Bronze,5
AUT,Gold,5
AUT,Silver,7
BEL,Bronze,3
CAN,Bronze,5
CAN,Gold,1
CAN,Silver,3
DEN,Bronze,3
DEN,Silver,2
EGY,Bronze,2
EGY,Gold,2
EGY,Silver,1
EST,Bronze,3
EST,Gold,2
EST,Silver,2
FIN,Bronze,6
FIN,Gold,8
FIN,Silver,6
FRA,Bronze,6
FRA,Gold,7
FRA,Silver,6
GBR,Bronze,3
GBR,Gold,4
GBR,Silver,7
GER,Bronze,32
GER,Gold,38
GER,Silver,31
HUN,Bronze,5
HUN,Gold,10
HUN,Silver,1
IND,Gold,1
ITA,Bronze,5
ITA,Gold,9
ITA,Silver,13
JPN,Bronze,10
JPN,Gold,6
JPN,Silver,4
LAT,Bronze,1
LAT,Silver,1
MEX,Bronze,3
NED,Bronze,7
NED,Gold,6
NED,Silver,4
NOR,Bronze,2
NOR,Gold,1
NOR,Silver,3
NZL,Gold,1
PHI,Bronze,1
POL,Bronze,5
POL,Silver,4
POR,Bronze,1
ROU,Silver,1
RSA,Silver,1
SUI,Bronze,5
SUI,Gold,4
SUI,Silver,9
SWE,Bronze,10
SWE,Gold,6
SWE,Silver,5
TCH,Bronze,1
TCH,Gold,3
TCH,Silver,5
TUR,Bronze,1
TUR,Gold,1
USA,Bronze,12
USA,Gold,24
USA,Silver,21
YUG,Silver,1
