Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1936,Germany,Berlin,Great Britain,GBR,4,7,3
1936,Germany,Berlin,Austria,AUT,4,6,3
1936,Germany,Berlin,Japan,JPN,6,4,8
1936,Germany,Berlin,Netherlands,NED,6,4,7
1936,Germany,Berlin,Estonia,EST,2,2,3
1936,Germany,Berlin,Egypt,EGY,2,1,2
1936,Germany,Berlin,Czechoslovakia,TCH,3,5,0
1936,Germany,Berlin,Argentina,ARG,2,2,3
1936,Germany,Berlin,United States,USA,24,20,12
1936,Germany,Berlin,Hungary,HUN,10,1,5
1936,Germany,Berlin,Portugal,POR,0,0,1
1936,Germany,Berlin,Germany,GER,33,26,30
1936,Germany,Berlin,France,FRA,7,6,6
1936,Germany,Berlin,Sweden,SWE,6,5,9
1936,Germany,Berlin,Italy,ITA,8,9,5
1936,Germany,Berlin,Finland,FIN,7,6,6
1936,Germany,Berlin,South Africa,RSA,0,1,0
1936,Germany,Berlin,Yugoslavia,YUG,0,1,0
1936,Germany,Berlin,Latvia,LAT,0,1,1
1936,Germany,Berlin,Romania,ROU,0,1,0
1936,Germany,Berlin,Australia,AUS,0,0,1
1936,Germany,Berlin,Philippines,PHI,0,0,1
1936,Germany,Berlin,Mexico,MEX,0,0,3
1936,Germany,Berlin,Belgium,BEL,0,0,2
1936,Germany,Berlin,Norway,NOR,1,3,2
1936,Germany,Berlin,Turkey,TUR,1,0,1
1936,Germany,Berlin,Switzerland,SUI,1,9,5
1936,Germany,Berlin,Canada,CAN,1,3,5
1936,Germany,Berlin,Poland,POL,0,3,3
1936,Germany,Berlin,Denmark,DEN,0,2,3
1936,Germany,Berlin,India,IND,1,0,0
1936,Germany,Berlin,New Zealand,NZL,1,0,0
