Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1912,Sweden,Stockholm,Germany,GER,6,13,7
1912,Sweden,Stockholm,Italy,ITA,5,1,2
1912,Sweden,Stockholm,Norway,NOR,4,1,5
1912,Sweden,Stockholm,South Africa,RSA,4,2,0
1912,Sweden,Stockholm,Sweden,SWE,24,24,17
1912,Sweden,Stockholm,United States,USA,26,19,19
1912,Sweden,Stockholm,France,FRA,7,5,3
1912,Sweden,Stockholm,Finland,FIN,9,8,9
1912,Sweden,Stockholm,Canada,CAN,3,2,3
1912,Sweden,Stockholm,Russian Empire,RU1,0,2,3
1912,Sweden,Stockholm,Switzerland,SUI,1,0,0
1912,Sweden,Stockholm,Netherlands,NED,0,0,3
1912,Sweden,Stockholm,Austria,AUT,0,2,2
1912,Sweden,Stockholm,Greece,GRE,1,0,1
1912,Sweden,Stockholm,Australasia,ANZ,2,2,3
1912,Sweden,Stockholm,Hungary,HUN,3,2,3
1912,Sweden,Stockholm,Denmark,DEN,1,6,5
1912,Sweden,Stockholm,Belgium,BEL,2,1,3
1912,Sweden,Stockholm,Great Britain,GBR,10,15,16
