NOC,Medal,Count
ANZ,Bronze,3
ANZ,Gold,2
ANZ,Silver,2
AUT,Bronze,2
AUT,Silver,2
BEL,Bronze,3
BEL,Gold,2
BEL,Silver,1
CAN,Bronze,3
CAN,Gold,3
CAN,Silver,2
DEN,Bronze,5
DEN,Gold,1
DEN,Silver,6
FIN,Bronze,9
FIN,Gold,9
FIN,Silver,8
FRA,Bronze,3
FRA,Gold,7
FRA,Silver,5
GBR,Bronze,16
GBR,Gold,10
GBR,Silver,15
GER,Bronze,7
GER,Gold,6
GER,Silver,13
GRE,Bronze,1
GRE,Gold,1
HUN,Bronze,3
HUN,Gold,3
HUN,Silver,2
ITA,Bronze,2
ITA,Gold,5
ITA,Silver,1
NED,Bronze,3
NOR,Bronze,5
NOR,Gold,4
NOR,Silver,1
RSA,Gold,4
RSA,Silver,2
RUS,Bronze,3
RUS,Silver,2
SUI,Gold,1
SWE,Bronze,17
SWE,Gold,24
SWE,Silver,24
USA,Bronze,19
USA,Gold,26
USA,Silver,18
