NOC,Medal,Count
ARG,Bronze,1
ARG,Gold,3
ARG,Silver,3
AUS,Bronze,1
AUS,Gold,1
AUS,Silver,2
AUT,Bronze,1
AUT,Gold,3
BEL,Bronze,2
BEL,Silver,1
CAN,Bronze,7
CAN,Gold,4
CAN,Silver,4
CHI,Silver,1
DEN,Bronze,4
DEN,Gold,3
DEN,Silver,2
EGY,Bronze,1
EGY,Gold,2
EGY,Silver,1
ESP,Gold,1
EST,Bronze,2
EST,Gold,2
EST,Silver,1
FIN,Bronze,9
FIN,Gold,8
FIN,Silver,8
FRA,Bronze,6
FRA,Gold,7
FRA,Silver,12
GBR,Bronze,7
GBR,Gold,4
GBR,Silver,11
GER,Bronze,19
GER,Gold,11
GER,Silver,9
HAI,Silver,1
HUN,Gold,5
HUN,Silver,5
IND,Gold,1
IRL,Gold,1
ITA,Bronze,7
ITA,Gold,7
ITA,Silver,6
JPN,Bronze,1
JPN,Gold,2
JPN,Silver,2
LUX,Gold,1
NED,Bronze,5
NED,Gold,8
NED,Silver,10
NOR,Bronze,1
NOR,Gold,1
NOR,Silver,2
NZL,Gold,1
PHI,Bronze,1
POL,Bronze,4
POL,Gold,2
POL,Silver,1
POR,Bronze,1
RSA,Bronze,2
RSA,Gold,1
SUI,Bronze,4
SUI,Gold,7
SUI,Silver,6
SWE,Bronze,12
SWE,Gold,7
SWE,Silver,6
TCH,Bronze,2
TCH,Gold,2
TCH,Silver,5
URU,Gold,1
USA,Bronze,16
USA,Gold,22
USA,Silver,18
YUG,Bronze,3
YUG,Gold,1
YUG,Silver,1
