Unnamed: 0,NOC,continent
133,NOR,Europe
213,EGY,Africa
273,USA,America
505,IND,Asia
664,SUI,Europe
669,GER,Europe
785,GBR,Europe
1515,CAN,America
1525,SWE,Europe
1567,BEL,Europe
1638,FRA,Europe
1783,NED,Europe
2144,ITA,Europe
2309,MEX,America
2404,FIN,Europe
2430,DEN,Europe
2779,JPN,Asia
2886,LTU,Europe
4000,ARG,America
4154,ROU,Europe
4429,ESP,Europe
4598,CHI,America
4610,LUX,Europe
5711,POR,Europe
5958,GRE,Europe
7223,URU,America
7602,AUT,Europe
7843,IRL,Europe
8275,POL,Europe
8279,YUG,None
8342,TCH,None
9206,TUR,Asia
10667,RSA,Africa
12332,HUN,Europe
14901,MON,Europe
15052,CUB,America
16403,LAT,Europe
22428,ZIM,Africa
23700,AUS,Oceania
25030,MLT,Europe
37069,HAI,America
42694,NZL,Oceania
65863,EST,Europe
81645,PHI,Asia
82278,PAN,America
136355,BUL,Europe
