Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1928,Netherlands,Amsterdam,United States,USA,22,18,16
1928,Netherlands,Amsterdam,Germany,GER,10,7,14
1928,Netherlands,Amsterdam,Finland,FIN,8,8,9
1928,Netherlands,Amsterdam,Italy,ITA,7,5,7
1928,Netherlands,Amsterdam,Switzerland,SUI,7,4,4
1928,Netherlands,Amsterdam,Sweden,SWE,7,6,12
1928,Netherlands,Amsterdam,Netherlands,NED,6,9,4
1928,Netherlands,Amsterdam,France,FRA,6,10,5
1928,Netherlands,Amsterdam,Hungary,HUN,4,5,0
1928,Netherlands,Amsterdam,Canada,CAN,4,4,7
