Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1928,Netherlands,Amsterdam,Great Britain,GBR,3,10,7
1928,Netherlands,Amsterdam,Canada,CAN,4,4,7
1928,Netherlands,Amsterdam,Hungary,HUN,4,5,0
1928,Netherlands,Amsterdam,Czechoslovakia,TCH,2,5,2
1928,Netherlands,Amsterdam,Japan,JPN,2,2,1
1928,Netherlands,Amsterdam,Argentina,ARG,3,3,1
1928,Netherlands,Amsterdam,Denmark,DEN,3,1,2
1928,Netherlands,Amsterdam,Netherlands,NED,6,9,4
1928,Netherlands,Amsterdam,Germany,GER,10,7,14
1928,Netherlands,Amsterdam,Finland,FIN,8,8,9
1928,Netherlands,Amsterdam,South Africa,RSA,1,0,2
1928,Netherlands,Amsterdam,United States,USA,22,18,16
1928,Netherlands,Amsterdam,Switzerland,SUI,7,4,4
1928,Netherlands,Amsterdam,France,FRA,6,10,5
1928,Netherlands,Amsterdam,Sweden,SWE,7,6,12
1928,Netherlands,Amsterdam,Italy,ITA,7,5,7
1928,Netherlands,Amsterdam,Estonia,EST,2,1,2
1928,Netherlands,Amsterdam,Uruguay,URU,1,0,0
1928,Netherlands,Amsterdam,Belgium,BEL,0,1,2
1928,Netherlands,Amsterdam,New Zealand,NZL,1,0,0
1928,Netherlands,Amsterdam,Spain,ESP,1,0,0
1928,Netherlands,Amsterdam,Philippines,PHI,0,0,1
1928,Netherlands,Amsterdam,Portugal,POR,0,0,1
1928,Netherlands,Amsterdam,Chile,CHI,0,1,0
1928,Netherlands,Amsterdam,Haiti,HAI,0,1,0
1928,Netherlands,Amsterdam,Australia,AUS,1,2,1
1928,Netherlands,Amsterdam,Norway,NOR,1,2,1
1928,Netherlands,Amsterdam,Egypt,EGY,2,1,1
1928,Netherlands,Amsterdam,Austria,AUT,2,0,1
1928,Netherlands,Amsterdam,India,IND,1,0,0
1928,Netherlands,Amsterdam,Ireland,IRL,1,0,0
1928,Netherlands,Amsterdam,Poland,POL,1,1,3
1928,Netherlands,Amsterdam,Yugoslavia,YUG,1,1,3
