NOC,Medal,Count
ARG,Bronze,2
ARG,Gold,1
ARG,Silver,3
AUS,Bronze,2
AUS,Gold,3
AUS,Silver,1
AUT,Bronze,1
AUT,Silver,3
BEL,Bronze,3
BEL,Gold,3
BEL,Silver,7
CAN,Bronze,1
CAN,Silver,3
DEN,Bronze,3
DEN,Gold,2
DEN,Silver,6
EST,Bronze,4
EST,Gold,1
EST,Silver,1
FIN,Bronze,10
FIN,Gold,14
FIN,Silver,13
FRA,Bronze,12
FRA,Gold,14
FRA,Silver,14
GBR,Bronze,12
GBR,Gold,9
GBR,Silver,14
GRE,Gold,1
HAI,Bronze,1
HUN,Bronze,4
HUN,Gold,2
HUN,Silver,4
IRL,Bronze,1
IRL,Silver,1
ITA,Bronze,5
ITA,Gold,8
ITA,Silver,3
JPN,Bronze,1
LUX,Gold,1
LUX,Silver,1
MON,Bronze,1
NED,Bronze,6
NED,Gold,4
NED,Silver,1
NOR,Bronze,3
NOR,Gold,5
NOR,Silver,2
NZL,Bronze,1
POL,Bronze,1
POL,Silver,1
POR,Bronze,1
ROU,Bronze,1
RSA,Bronze,1
RSA,Gold,1
RSA,Silver,1
SUI,Bronze,10
SUI,Gold,7
SUI,Silver,8
SWE,Bronze,12
SWE,Gold,4
SWE,Silver,13
TCH,Bronze,5
TCH,Gold,1
TCH,Silver,4
URU,Gold,1
USA,Bronze,27
USA,Gold,45
USA,Silver,27
YUG,Gold,2
