Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1924,Paris,Aquatics,Diving,"PINKSTON, Clarence",USA,Men,10M Platform,Bronze
1924,Paris,Aquatics,Diving,"WHITE, Albert",USA,Men,10M Platform,Gold
1924,Paris,Aquatics,Diving,"FALL, David",USA,Men,10M Platform,Silver
1924,Paris,Aquatics,Diving,"TÖPEL, Hjördis",SWE,Women,10M Platform,Bronze
1924,Paris,Aquatics,Diving,"SMITH, Caroline",USA,Women,10M Platform,Gold
1924,Paris,Aquatics,Diving,"BECKER-PINKSTON, Elizabeth",USA,Women,10M Platform,Silver
1924,Paris,Aquatics,Diving,"PINKSTON, Clarence",USA,Men,3M Springboard,Bronze
1924,Paris,Aquatics,Diving,"WHITE, Albert",USA,Men,3M Springboard,Gold
1924,Paris,Aquatics,Diving,"DESJARDINS, Ulise Joseph ""Peter""",USA,Men,3M Springboard,Silver
1924,Paris,Aquatics,Diving,"FLETCHER, Caroline",USA,Women,3M Springboard,Bronze
1924,Paris,Aquatics,Diving,"BECKER-PINKSTON, Elizabeth",USA,Women,3M Springboard,Gold
1924,Paris,Aquatics,Diving,"RIGGIN, Aileen",USA,Women,3M Springboard,Silver
1924,Paris,Aquatics,Diving,"CLARKE, Harold",GBR,Men,Plain High Diving,Bronze
1924,Paris,Aquatics,Diving,"EVE, Richmond",AUS,Men,Plain High Diving,Gold
1924,Paris,Aquatics,Diving,"JANSSON, John",SWE,Men,Plain High Diving,Silver
1924,Paris,Aquatics,Swimming,"BARTHA, István",HUN,Men,100M Backstroke,Bronze
1924,Paris,Aquatics,Swimming,"KEALOHA, Warren Paoa",USA,Men,100M Backstroke,Gold
1924,Paris,Aquatics,Swimming,"WYATT, Paul",USA,Men,100M Backstroke,Silver
1924,Paris,Aquatics,Swimming,"RIGGIN, Aileen",USA,Women,100M Backstroke,Bronze
1924,Paris,Aquatics,Swimming,"BAUER, Sybil",USA,Women,100M Backstroke,Gold
1924,Paris,Aquatics,Swimming,"HARDING, Phyllis",GBR,Women,100M Backstroke,Silver
1924,Paris,Aquatics,Swimming,"KAHANAMOKU, Samuel",USA,Men,100M Freestyle,Bronze
1924,Paris,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,100M Freestyle,Gold
1924,Paris,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100M Freestyle,Silver
1924,Paris,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,100M Freestyle,Bronze
1924,Paris,Aquatics,Swimming,"LACKIE, Ethel",USA,Women,100M Freestyle,Gold
1924,Paris,Aquatics,Swimming,"WEHSELAU, Mariechen",USA,Women,100M Freestyle,Silver
1924,Paris,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Men,1500M Freestyle,Bronze
1924,Paris,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,1500M Freestyle,Gold
1924,Paris,Aquatics,Swimming,"BORG, Arne",SWE,Men,1500M Freestyle,Silver
1924,Paris,Aquatics,Swimming,"KIRSHBAUM, William",USA,Men,200M Breaststroke,Bronze
1924,Paris,Aquatics,Swimming,"SKELTON, Robert",USA,Men,200M Breaststroke,Gold
1924,Paris,Aquatics,Swimming,"DE COMBE, Joseph",BEL,Men,200M Breaststroke,Silver
1924,Paris,Aquatics,Swimming,"CARSON, Gladys",GBR,Women,200M Breaststroke,Bronze
1924,Paris,Aquatics,Swimming,"MORTON, Lucille",GBR,Women,200M Breaststroke,Gold
1924,Paris,Aquatics,Swimming,"GERAGHTY, Agnes",USA,Women,200M Breaststroke,Silver
1924,Paris,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,400M Freestyle,Bronze
1924,Paris,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,400M Freestyle,Gold
1924,Paris,Aquatics,Swimming,"BORG, Arne",SWE,Men,400M Freestyle,Silver
1924,Paris,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,400M Freestyle,Bronze
1924,Paris,Aquatics,Swimming,"NORELIUS, Martha",USA,Women,400M Freestyle,Gold
1924,Paris,Aquatics,Swimming,"WAINWRIGHT, Helen",USA,Women,400M Freestyle,Silver
1924,Paris,Aquatics,Swimming,"BERG, Aina",SWE,Women,4X100M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"EWERLUND, Gurli",SWE,Women,4X100M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"GYLLING, Jane",SWE,Women,4X100M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"PETTERSSON, Wivan",SWE,Women,4X100M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"TÖPEL, Hjördis",SWE,Women,4X100M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"DONNELLY, Euphrasia",USA,Women,4X100M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,4X100M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"LACKIE, Ethel",USA,Women,4X100M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"NORELIUS, Martha",USA,Women,4X100M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"WAINWRIGHT, Helen",USA,Women,4X100M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"WEHSELAU, Mariechen",USA,Women,4X100M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"BARKER, Florence",GBR,Women,4X100M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"GANT, P.",GBR,Women,4X100M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"HATCH, J. E.",GBR,Women,4X100M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"JEANS, Constance Mabel",GBR,Women,4X100M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"MAC KENZIE, Grace",GBR,Women,4X100M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"TANNER, Irene Vera",GBR,Women,4X100M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"BORG, Ake",SWE,Men,4X200M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"BORG, Arne",SWE,Men,4X200M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"HENNING, Tor",SWE,Men,4X200M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"PERSSON, O. Gösta A.",SWE,Men,4X200M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"TROLLE, Orvar",SWE,Men,4X200M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"WERNER, Georg",SWE,Men,4X200M Freestyle Relay,Bronze
1924,Paris,Aquatics,Swimming,"BREYER, Ralph",USA,Men,4X200M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"GLANCY, Harrison Smith",USA,Men,4X200M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"HOWELL, Richard",USA,Men,4X200M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"O'CONNOR, James Wallace",USA,Men,4X200M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"SMITH, Lester",USA,Men,4X200M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,4X200M Freestyle Relay,Gold
1924,Paris,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,4X200M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"CHRISTIE, Maurice F.",AUS,Men,4X200M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Men,4X200M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"HENRY, Ernest M.",AUS,Men,4X200M Freestyle Relay,Silver
1924,Paris,Aquatics,Swimming,"STEDMAN, Ivan",AUS,Men,4X200M Freestyle Relay,Silver
1924,Paris,Aquatics,Water polo,"AUSTIN, Arthur",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"COLLETT, E.",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"HANDY, J.",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"HORN, Oliver",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"LAUER, Frederick",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"MITCHELL, George F.",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"NORTON, John",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"O'CONNOR, James Wallace",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"SCHROTH, George E.",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"VOLLMER, Herbert Eberhard",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"WEISSMULLER, Johnny",USA,Men,Water Polo,Bronze
1924,Paris,Aquatics,Water polo,"BERTRAND, R.",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"DEBORGIES, Albert",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"DELBERGHE, Noël",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"DESMETTRE, Robert",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"DUJARDIN, Paul",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"FASANI, A.",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"LASQUIN, Jean",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"MAYAUD, Albert",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"PADOU SR., Henri",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"PEROL, J.",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"RIGAL, Georges",FRA,Men,Water Polo,Gold
1924,Paris,Aquatics,Water polo,"BLITZ, Gerard",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"BLITZ, Maurice",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"CLUDTS, Joseph",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"DE COMBE, Joseph",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"DEWIN, Pierre",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"DURANT, Albert",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"FLEURIX, Georges",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"GAILLY, Paul",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"PLETINCX, Joseph",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"THIRY, Jules",BEL,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"VERMETTEN, Jean-Pierre",BEL,Men,Water Polo,Silver
1924,Paris,Athletics,Athletics,"BERG, Eero",FIN,Men,10000M,Bronze
1924,Paris,Athletics,Athletics,"RITOLA, Ville",FIN,Men,10000M,Gold
1924,Paris,Athletics,Athletics,"WIDE, Edvin",SWE,Men,10000M,Silver
1924,Paris,Athletics,Athletics,"MACMASTER, Cecil",RSA,Men,10000M Walk,Bronze
