Unnamed: 0,NOC,continent
39,FIN,Europe
132,NOR,Europe
152,BUL,Europe
181,CHI,America
663,SUI,Europe
694,MON,Europe
915,GBR,Europe
1203,FRA,Europe
1236,BEL,Europe
1324,HUN,Europe
1386,POL,Europe
1740,AUT,Europe
1766,SWE,Europe
1782,NED,Europe
2034,EGY,Africa
2265,MEX,America
2322,ARG,America
2868,TUR,Asia
4195,ITA,Europe
5118,USA,America
5346,CUB,America
5358,ESP,Europe
5790,LUX,Europe
6459,GRE,Europe
6634,DEN,Europe
7222,URU,America
7708,AUS,Oceania
7963,TCH,None
8034,LTU,Europe
8355,EST,Europe
8645,LAT,Europe
8932,YUG,None
9305,HAI,America
9317,ROU,Europe
9423,CAN,America
10666,RSA,Africa
14991,IRL,Europe
20177,POR,Europe
28174,BRA,America
73892,JPN,Asia
74352,IND,Asia
92716,NZL,Oceania
106665,ECU,America
169734,PHI,Asia
171413,RUS,Europe
