Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1924,France,Paris,United States,USA,45,27,27
1924,France,Paris,Finland,FIN,14,13,10
1924,France,Paris,France,FRA,13,15,10
1924,France,Paris,Great Britain,GBR,9,13,12
1924,France,Paris,Italy,ITA,8,3,5
1924,France,Paris,Switzerland,SUI,7,8,10
1924,France,Paris,Norway,NOR,5,2,3
1924,France,Paris,Sweden,SWE,4,13,12
1924,France,Paris,Netherlands,NED,4,1,5
1924,France,Paris,Belgium,BEL,3,7,3
