NOC,Medal,Count
ARG,Bronze,2
ARG,Gold,1
ARG,Silver,2
AUS,Bronze,3
AUS,Gold,6
AUS,Silver,2
AUT,Bronze,1
AUT,Silver,1
BEL,Gold,2
BEL,Silver,2
BRA,Bronze,2
BRA,Gold,1
BUL,Bronze,1
CAN,Gold,1
CAN,Silver,2
CHI,Silver,2
DEN,Bronze,3
DEN,Gold,2
DEN,Silver,1
EGY,Bronze,1
ESP,Silver,1
FIN,Bronze,13
FIN,Gold,6
FIN,Silver,3
FRA,Bronze,6
FRA,Gold,6
FRA,Silver,6
GBR,Bronze,8
GBR,Gold,1
GBR,Silver,2
GER,Bronze,17
GER,Silver,7
HUN,Bronze,16
HUN,Gold,16
HUN,Silver,10
IND,Bronze,1
IND,Gold,1
IRI,Bronze,4
IRI,Silver,3
IRL,Silver,1
ITA,Bronze,4
ITA,Gold,8
ITA,Silver,9
JAM,Gold,2
JAM,Silver,3
JPN,Bronze,1
JPN,Gold,1
JPN,Silver,6
KOR,Bronze,2
LIB,Bronze,1
LIB,Silver,1
LUX,Gold,1
MEX,Silver,1
NED,Silver,5
NOR,Gold,3
NOR,Silver,2
NZL,Bronze,2
NZL,Gold,1
POL,Bronze,1
POL,Gold,1
POL,Silver,2
POR,Bronze,1
ROU,Bronze,2
ROU,Gold,1
ROU,Silver,1
RSA,Bronze,4
RSA,Gold,2
RSA,Silver,4
SUI,Bronze,6
SUI,Gold,2
SUI,Silver,6
SWE,Bronze,10
SWE,Gold,12
SWE,Silver,13
TCH,Bronze,3
TCH,Gold,7
TCH,Silver,3
TTO,Bronze,2
TUR,Bronze,1
TUR,Gold,2
URS,Bronze,19
URS,Gold,22
URS,Silver,29
URU,Bronze,2
USA,Bronze,17
USA,Gold,40
USA,Silver,19
VEN,Bronze,1
YUG,Gold,1
YUG,Silver,2
