Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1908,Great Britain,London,Great Britain,GBR,56,51,39
1908,Great Britain,London,United States,USA,23,12,12
1908,Great Britain,London,Sweden,SWE,8,6,11
1908,Great Britain,London,France,FRA,5,5,9
1908,Great Britain,London,Canada,CAN,3,3,10
1908,Great Britain,London,Germany,GER,3,5,5
1908,Great Britain,London,Hungary,HUN,3,4,2
1908,Great Britain,London,Italy,ITA,2,2,0
1908,Great Britain,London,Norway,NOR,2,3,3
1908,Great Britain,London,Australasia,ANZ,1,2,2
