Unnamed: 0,NOC,continent
3,DEN,Europe
261,GER,Europe
283,USA,America
1202,FRA,Europe
6578,AUT,Europe
6615,NOR,Europe
6892,GBR,Europe
13837,ITA,Europe
14262,BEL,Europe
16221,HUN,Europe
20955,SUI,Europe
23399,NED,Europe
23419,SWE,Europe
34236,ARG,America
34566,ESP,Europe
45060,HAI,America
50540,PER,America
51650,RUS,Europe
64051,BOH,None
64703,MEX,America
70981,CUB,America
83480,CAN,America
94299,COL,America
121232,BRA,America
131870,AUS,Oceania
139561,NZL,Oceania
147691,IRI,Asia
157099,GRE,Europe
189806,ROU,Europe
193364,IND,Asia
238379,LUX,Europe
