NOC,Medal,Count
AUS,Bronze,3
AUS,Gold,3
AUT,Bronze,3
AUT,Silver,3
BEL,Bronze,5
BEL,Gold,6
BEL,Silver,7
BOH,Bronze,2
BOH,Silver,1
CAN,Bronze,1
CAN,Gold,1
COL,Silver,1
CUB,Gold,1
CUB,Silver,1
DEN,Bronze,2
DEN,Gold,2
DEN,Silver,3
ESP,Gold,1
FRA,Bronze,34
FRA,Gold,28
FRA,Silver,40
GBR,Bronze,12
GBR,Gold,19
GBR,Silver,11
GER,Bronze,1
GER,Gold,4
GER,Silver,3
HAI,Gold,1
HUN,Bronze,2
HUN,Gold,1
HUN,Silver,2
IND,Silver,2
ITA,Gold,3
ITA,Silver,2
LUX,Gold,1
MEX,Bronze,1
NED,Bronze,4
NED,Gold,1
NED,Silver,2
NOR,Bronze,3
NOR,Silver,2
NZL,Gold,1
SUI,Bronze,1
SUI,Gold,6
SUI,Silver,2
SWE,Bronze,1
SWE,Gold,1
USA,Bronze,17
USA,Gold,21
USA,Silver,16
