Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1900,France,Paris,Italy,ITA,3,2,0
1900,France,Paris,Germany,GER,4,3,2
1900,France,Paris,Australia,AUS,2,0,3
1900,France,Paris,Hungary,HUN,1,2,2
1900,France,Paris,Denmark,DEN,1,3,2
1900,France,Paris,France,FRA,27,38,37
1900,France,Paris,Switzerland,SUI,6,2,1
1900,France,Paris,United States,USA,19,14,15
1900,France,Paris,Mixed team,ZZX,8,5,6
1900,France,Paris,Great Britain,GBR,15,8,9
1900,France,Paris,Cuba,CUB,1,1,0
1900,France,Paris,India,IND,0,2,0
1900,France,Paris,Netherlands,NED,0,2,3
1900,France,Paris,Bohemia,BOH,0,1,1
1900,France,Paris,Belgium,BEL,6,7,4
1900,France,Paris,Sweden,SWE,0,0,1
1900,France,Paris,Spain,ESP,1,0,0
1900,France,Paris,Canada,CAN,1,0,1
1900,France,Paris,Luxembourg,LUX,1,0,0
1900,France,Paris,Norway,NOR,0,2,3
1900,France,Paris,Austria,AUT,0,3,3
