Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
2012,Great Britain,London,United States,USA,46,28,30
2012,Great Britain,London,China,CHN,38,31,22
2012,Great Britain,London,Great Britain,GBR,29,17,19
2012,Great Britain,London,Russia,RUS,20,20,28
2012,Great Britain,London,South Korea,KOR,13,9,8
2012,Great Britain,London,Germany,GER,11,20,13
2012,Great Britain,London,France,FRA,11,11,13
2012,Great Britain,London,Italy,ITA,8,9,11
2012,Great Britain,London,Hungary,HUN,8,4,6
2012,Great Britain,London,Australia,AUS,8,15,12
