NOC,Medal,Count
AFG,Bronze,1
ALG,Gold,1
ARG,Bronze,2
ARG,Gold,1
ARG,Silver,1
ARM,Bronze,2
ARM,Silver,1
AUS,Bronze,12
AUS,Gold,7
AUS,Silver,16
AZE,Bronze,6
AZE,Gold,2
AZE,Silver,2
BAH,Gold,1
BEL,Bronze,2
BEL,Silver,1
BLR,Bronze,5
BLR,Gold,2
BLR,Silver,5
BOT,Silver,1
BRA,Bronze,9
BRA,Gold,3
BRA,Silver,5
BRN,Bronze,1
BUL,Bronze,1
BUL,Silver,1
CAN,Bronze,12
CAN,Gold,1
CAN,Silver,5
CHN,Bronze,23
CHN,Gold,38
CHN,Silver,27
COL,Bronze,4
COL,Gold,1
COL,Silver,3
CRO,Bronze,2
CRO,Gold,3
CRO,Silver,1
CUB,Bronze,6
CUB,Gold,5
CUB,Silver,3
CYP,Silver,1
CZE,Bronze,3
CZE,Gold,4
CZE,Silver,3
DEN,Bronze,3
DEN,Gold,2
DEN,Silver,4
DOM,Gold,1
DOM,Silver,1
EGY,Silver,2
ESP,Bronze,4
ESP,Gold,3
ESP,Silver,10
EST,Bronze,1
EST,Silver,1
ETH,Bronze,3
ETH,Gold,3
ETH,Silver,1
FIN,Bronze,2
FIN,Silver,1
FRA,Bronze,13
FRA,Gold,11
FRA,Silver,11
GAB,Silver,1
GBR,Bronze,19
GBR,Gold,29
GBR,Silver,17
GEO,Bronze,3
GEO,Gold,1
GEO,Silver,3
GER,Bronze,14
GER,Gold,11
GER,Silver,19
GRE,Bronze,2
GRN,Gold,1
GUA,Silver,1
HKG,Bronze,1
HUN,Bronze,6
HUN,Gold,8
HUN,Silver,4
INA,Bronze,1
INA,Silver,1
IND,Bronze,4
IND,Silver,2
IRI,Bronze,3
IRI,Gold,4
IRI,Silver,5
IRL,Bronze,3
IRL,Gold,1
IRL,Silver,1
ITA,Bronze,11
ITA,Gold,8
ITA,Silver,9
JAM,Bronze,4
JAM,Gold,4
JAM,Silver,4
JPN,Bronze,17
JPN,Gold,7
JPN,Silver,14
KAZ,Bronze,5
KAZ,Gold,7
KAZ,Silver,1
KEN,Bronze,5
KEN,Gold,2
KEN,Silver,4
KOR,Bronze,7
KOR,Gold,13
KOR,Silver,8
KSA,Bronze,1
KUW,Bronze,1
LAT,Bronze,1
LAT,Gold,1
LTU,Bronze,2
LTU,Gold,2
LTU,Silver,1
MAR,Bronze,1
MAS,Bronze,1
MAS,Silver,1
MDA,Bronze,2
MEX,Bronze,3
MEX,Gold,1
MEX,Silver,3
MGL,Bronze,3
MGL,Silver,2
MNE,Silver,1
NED,Bronze,8
NED,Gold,6
NED,Silver,6
NOR,Bronze,1
NOR,Gold,2
NOR,Silver,1
NZL,Bronze,5
NZL,Gold,6
NZL,Silver,2
POL,Bronze,6
POL,Gold,2
POL,Silver,2
POR,Silver,1
PRK,Bronze,2
PRK,Gold,4
PUR,Bronze,1
PUR,Silver,1
QAT,Bronze,2
ROU,Bronze,2
ROU,Gold,2
ROU,Silver,5
RSA,Bronze,1
RSA,Gold,3
RSA,Silver,2
RUS,Bronze,32
RUS,Gold,24
RUS,Silver,26
SGP,Bronze,2
SLO,Bronze,2
SLO,Gold,1
SLO,Silver,1
SRB,Bronze,2
SRB,Gold,1
SRB,Silver,1
SUI,Gold,2
SUI,Silver,2
SVK,Bronze,3
SVK,Silver,1
SWE,Bronze,3
SWE,Gold,1
SWE,Silver,4
THA,Bronze,1
THA,Silver,2
TJK,Bronze,1
TPE,Bronze,1
TPE,Silver,1
TTO,Bronze,2
TTO,Gold,1
TTO,Silver,1
TUN,Bronze,1
TUN,Gold,1
TUN,Silver,1
TUR,Bronze,1
TUR,Gold,2
TUR,Silver,2
UGA,Gold,1
UKR,Bronze,9
UKR,Gold,6
UKR,Silver,5
USA,Bronze,29
USA,Gold,46
USA,Silver,28
UZB,Bronze,2
UZB,Gold,1
VEN,Gold,1
