Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1992,Spain,Barcelona,Norway,NOR,2,4,1
1992,Spain,Barcelona,Kenya,KEN,2,4,2
1992,Spain,Barcelona,Indonesia,INA,2,2,1
1992,Spain,Barcelona,Turkey,TUR,2,2,2
1992,Spain,Barcelona,Bulgaria,BUL,3,7,6
1992,Spain,Barcelona,Japan,JPN,3,8,11
1992,Spain,Barcelona,Netherlands,NED,2,6,7
1992,Spain,Barcelona,Poland,POL,3,6,10
1992,Spain,Barcelona,Denmark,DEN,1,1,4
1992,Spain,Barcelona,Finland,FIN,1,2,2
1992,Spain,Barcelona,Ireland,IRL,1,1,0
1992,Spain,Barcelona,Morocco,MAR,1,1,1
1992,Spain,Barcelona,Greece,GRE,2,0,0
1992,Spain,Barcelona,Brazil,BRA,2,1,0
1992,Spain,Barcelona,New Zealand,NZL,1,4,5
1992,Spain,Barcelona,Sweden,SWE,1,7,4
1992,Spain,Barcelona,Spain,ESP,13,7,2
1992,Spain,Barcelona,Cuba,CUB,14,6,11
1992,Spain,Barcelona,Hungary,HUN,11,12,7
1992,Spain,Barcelona,South Korea,KOR,12,5,12
1992,Spain,Barcelona,United States,USA,37,34,37
1992,Spain,Barcelona,Unified Team,EUN,45,38,29
1992,Spain,Barcelona,China,CHN,16,22,16
1992,Spain,Barcelona,Germany,GER,33,21,28
1992,Spain,Barcelona,Romania,ROU,4,6,8
1992,Spain,Barcelona,Great Britain,GBR,5,3,12
1992,Spain,Barcelona,North Korea,PRK,4,0,5
1992,Spain,Barcelona,Czechoslovakia,TCH,4,2,1
1992,Spain,Barcelona,Australia,AUS,7,9,11
1992,Spain,Barcelona,France,FRA,8,5,16
1992,Spain,Barcelona,Italy,ITA,6,5,8
1992,Spain,Barcelona,Canada,CAN,7,4,7
1992,Spain,Barcelona,Argentina,ARG,0,0,1
1992,Spain,Barcelona,Slovenia,SLO,0,0,2
1992,Spain,Barcelona,Colombia,COL,0,0,1
1992,Spain,Barcelona,Bahamas,BAH,0,0,1
1992,Spain,Barcelona,Mexico,MEX,0,1,0
1992,Spain,Barcelona,Chinese Taipei,TPE,0,1,0
1992,Spain,Barcelona,Mongolia,MGL,0,0,2
1992,Spain,Barcelona,Peru,PER,0,1,0
1992,Spain,Barcelona,Qatar,QAT,0,0,1
1992,Spain,Barcelona,Puerto Rico,PUR,0,0,1
1992,Spain,Barcelona,Thailand,THA,0,0,1
1992,Spain,Barcelona,Suriname,SUR,0,0,1
1992,Spain,Barcelona,Malaysia,MAS,0,0,1
1992,Spain,Barcelona,Ghana,GHA,0,0,1
1992,Spain,Barcelona,Philippines,PHI,0,0,1
1992,Spain,Barcelona,Pakistan,PAK,0,0,1
1992,Spain,Barcelona,Jamaica,JAM,0,3,1
1992,Spain,Barcelona,Switzerland,SUI,1,0,0
1992,Spain,Barcelona,Latvia,LAT,0,2,1
1992,Spain,Barcelona,Nigeria,NGR,0,3,1
1992,Spain,Barcelona,Algeria,ALG,1,0,1
1992,Spain,Barcelona,Ethiopia,ETH,1,0,2
1992,Spain,Barcelona,Lithuania,LTU,1,0,1
1992,Spain,Barcelona,Estonia,EST,1,0,1
1992,Spain,Barcelona,Independent Olympic Participants,IOP,0,1,2
1992,Spain,Barcelona,Croatia,CRO,0,1,2
1992,Spain,Barcelona,Israel,ISR,0,1,1
1992,Spain,Barcelona,Iran,IRI,0,1,2
1992,Spain,Barcelona,Namibia,NAM,0,2,0
1992,Spain,Barcelona,Austria,AUT,0,2,0
1992,Spain,Barcelona,Belgium,BEL,0,1,2
1992,Spain,Barcelona,South Africa,RSA,0,2,0
