Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1992,Spain,Barcelona,Unified Team,EUN,45,38,29
1992,Spain,Barcelona,United States,USA,37,34,37
1992,Spain,Barcelona,Germany,GER,33,21,28
1992,Spain,Barcelona,China,CHN,16,22,16
1992,Spain,Barcelona,Cuba,CUB,14,6,11
1992,Spain,Barcelona,Spain,ESP,13,7,2
1992,Spain,Barcelona,South Korea,KOR,12,5,12
1992,Spain,Barcelona,Hungary,HUN,11,12,7
1992,Spain,Barcelona,France,FRA,8,5,16
1992,Spain,Barcelona,Australia,AUS,7,9,11
