Unnamed: 0,NOC,continent
0,CHN,Asia
96,FIN,Europe
118,NOR,Europe
137,EST,Europe
160,CHA,Africa
169,CUB,America
185,CHI,America
208,HUN,Europe
223,ITA,Europe
237,PAK,Asia
300,EGY,Africa
446,ALG,Africa
455,QAT,Asia
458,DJI,Africa
501,MAS,Asia
562,IRQ,Asia
572,KUW,Asia
578,SGP,Asia
620,EUN,Special
631,JPN,Asia
654,ETH,Africa
702,ESP,Europe
753,CIV,Africa
899,IND,Asia
957,MAR,Africa
987,POR,Europe
1162,PUR,America
1163,COL,America
1191,GHA,Africa
1262,MEX,America
1348,SEY,Africa
1360,GBR,Europe
1380,KEN,Africa
1388,POL,Europe
1394,TCH,None
1417,GER,Europe
1448,AUS,Oceania
1524,USA,America
1574,FRA,Europe
1576,RSA,Africa
1623,NGR,Africa
1732,BRA,America
1798,SWE,Europe
1918,SUI,Europe
1989,IRI,Asia
2047,BEN,Africa
2251,PAN,America
2313,ARG,America
2323,NCA,America
2378,TOG,Africa
2592,LBA,Africa
2627,MTN,Africa
3159,UAE,Asia
3183,BRN,Asia
3190,OMA,Asia
3198,SYR,Asia
3249,KSA,Asia
3368,YEM,Asia
3444,JOR,Asia
3911,CRO,Europe
3942,IOA,Special
4041,CAN,America
4337,BUL,Europe
4624,ISV,America
4834,SAM,Oceania
5072,BAR,America
5143,GUM,Oceania
5208,PHI,Asia
5544,PAR,America
5578,CRC,America
5733,PER,America
5798,CAF,Africa
5858,SLE,Africa
5961,BAN,Asia
6059,SRI,Asia
6095,SMR,Europe
6124,ISR,Asia
6126,MDV,Asia
6148,COD,Africa
6283,AUT,Europe
6383,KOR,Asia
6399,PRK,Asia
6596,DEN,Europe
6798,NZL,Oceania
7399,ISL,Europe
7552,ROU,Europe
7913,INA,Asia
8101,GEQ,Africa
8143,BOL,America
8601,BEL,Europe
8629,ANT,America
8660,DOM,America
9248,NED,Europe
9286,GRE,Europe
9749,LIB,Asia
10230,SUR,America
10275,TUR,Asia
10498,SOL,Oceania
10741,SEN,Africa
10761,HKG,Asia
11191,GUA,America
11223,CYP,Asia
11882,PNG,Oceania
12328,MGL,Asia
12455,LTU,Europe
12511,GUI,Africa
14291,CAY,America
18098,HON,America
18631,TUN,Africa
19977,LAT,Europe
20113,IRL,Europe
20812,AND,Europe
21720,SLO,Europe
22049,CGO,Africa
22368,ALB,Europe
22959,JAM,America
23571,LIE,Europe
24337,FIJ,Oceania
24709,TTO,America
25516,THA,Asia
26842,GAB,Africa
29674,BER,America
30056,ASA,Oceania
32255,BIH,Europe
32521,TAN,Africa
33059,ZAM,Africa
33330,ECU,America
35020,ANG,Africa
35376,GUY,America
36336,MLT,Europe
38402,TPE,Asia
38912,BIZ,America
40140,URU,America
40369,ZIM,Africa
42203,MRI,Africa
42516,LUX,Europe
44413,VIN,America
45420,MLI,Africa
48188,NAM,Africa
49177,AHO,None
49972,BAH,America
50197,VIE,Asia
51083,VEN,America
55030,MON,Europe
56086,ARU,America
56141,BOT,Africa
56371,SWZ,Africa
62648,SUD,Africa
65881,MOZ,Africa
67610,GRN,America
69594,VAN,Oceania
95702,BUR,Africa
96437,IVB,America
97711,HAI,America
101824,ESA,America
102568,NIG,Africa
105681,GAM,Africa
111041,BHU,Asia
115878,CMR,Africa
116797,LAO,Asia
117096,MYA,Asia
122846,TGA,Oceania
142152,UGA,Africa
161334,LES,Africa
164820,RWA,Africa
166031,MAW,Africa
173904,COK,Oceania
195304,MAD,Africa
203348,NEP,Asia
