NOC,Medal,Count
ALG,Bronze,1
ALG,Gold,1
ARG,Bronze,1
AUS,Bronze,11
AUS,Gold,7
AUS,Silver,9
AUT,Silver,2
BAH,Bronze,1
BEL,Bronze,2
BEL,Silver,1
BRA,Gold,2
BRA,Silver,1
BUL,Bronze,6
BUL,Gold,3
BUL,Silver,7
CAN,Bronze,7
CAN,Gold,7
CAN,Silver,4
CHN,Bronze,15
CHN,Gold,16
CHN,Silver,22
COL,Bronze,1
CRO,Bronze,2
CRO,Silver,1
CUB,Bronze,11
CUB,Gold,14
CUB,Silver,6
DEN,Bronze,4
DEN,Gold,1
DEN,Silver,1
ESP,Bronze,2
ESP,Gold,13
ESP,Silver,7
EST,Bronze,1
EST,Gold,1
ETH,Bronze,2
ETH,Gold,1
EUN,Bronze,29
EUN,Gold,45
EUN,Silver,38
FIN,Bronze,2
FIN,Gold,1
FIN,Silver,2
FRA,Bronze,16
FRA,Gold,8
FRA,Silver,5
GBR,Bronze,12
GBR,Gold,5
GBR,Silver,3
GER,Bronze,28
GER,Gold,33
GER,Silver,21
GHA,Bronze,1
GRE,Gold,2
HUN,Bronze,7
HUN,Gold,11
HUN,Silver,12
INA,Bronze,1
INA,Gold,2
INA,Silver,2
IOA,Bronze,2
IOA,Silver,1
IRI,Bronze,2
IRI,Silver,1
IRL,Gold,1
IRL,Silver,1
ISR,Bronze,1
ISR,Silver,1
ITA,Bronze,8
ITA,Gold,6
ITA,Silver,5
JAM,Bronze,1
JAM,Silver,3
JPN,Bronze,11
JPN,Gold,3
JPN,Silver,8
KEN,Bronze,2
KEN,Gold,2
KEN,Silver,4
KOR,Bronze,11
KOR,Gold,12
KOR,Silver,5
LAT,Bronze,1
LAT,Silver,2
LTU,Bronze,1
LTU,Gold,1
MAR,Bronze,1
MAR,Gold,1
MAR,Silver,1
MAS,Bronze,1
MEX,Silver,1
MGL,Bronze,2
NAM,Silver,2
NED,Bronze,7
NED,Gold,2
NED,Silver,6
NGR,Bronze,1
NGR,Silver,3
NOR,Bronze,1
NOR,Gold,2
NOR,Silver,4
NZL,Bronze,5
NZL,Gold,1
NZL,Silver,4
PAK,Bronze,1
PER,Silver,1
PHI,Bronze,1
POL,Bronze,10
POL,Gold,3
POL,Silver,6
PRK,Bronze,5
PRK,Gold,4
PUR,Bronze,1
QAT,Bronze,1
ROU,Bronze,8
ROU,Gold,4
ROU,Silver,6
RSA,Silver,2
SLO,Bronze,2
SUI,Gold,1
SUR,Bronze,1
SWE,Bronze,4
SWE,Gold,1
SWE,Silver,7
TCH,Bronze,1
TCH,Gold,4
TCH,Silver,2
THA,Bronze,1
TPE,Silver,1
TUR,Bronze,2
TUR,Gold,2
TUR,Silver,2
USA,Bronze,37
USA,Gold,37
USA,Silver,34
