Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
2016,Brazil,Rio de Janeiro,United States,,46,37,38
2016,Brazil,Rio de Janeiro,Great Britain,,27,23,17
2016,Brazil,Rio de Janeiro,China,,26,18,26
2016,Brazil,Rio de Janeiro,Russia,,19,17,20
2016,Brazil,Rio de Janeiro,Germany,,17,10,15
2016,Brazil,Rio de Janeiro,Japan,,12,8,21
2016,Brazil,Rio de Janeiro,France,,10,18,14
2016,Brazil,Rio de Janeiro,South Korea,,9,3,9
2016,Brazil,Rio de Janeiro,Netherlands,,8,7,4
2016,Brazil,Rio de Janeiro,Hungary,,8,3,4
