Unnamed: 0,NOC,continent
88,NED,Europe
189,ESP,Europe
194,CHI,America
221,ITA,Europe
251,MAS,Asia
316,JOR,Asia
342,EGY,Africa
474,CAN,America
509,KSA,Asia
521,BRN,Asia
570,UAE,Asia
646,JPN,Asia
662,CMR,Africa
760,FRA,Europe
777,BEN,Africa
857,ALG,Africa
858,IRQ,Asia
895,IND,Asia
907,CRC,America
925,USA,America
1017,BRA,America
1098,KUW,Asia
1173,MEX,America
1192,SUI,Europe
1195,UGA,Africa
1277,ECU,America
1335,NZL,Oceania
1377,KEN,Africa
1474,DOM,America
1491,GBR,Europe
1498,AUS,Oceania
1539,JAM,America
1595,GHA,Africa
1618,NGR,Africa
1657,SOM,Africa
1789,CIV,Africa
1815,SWE,Europe
1827,MON,Europe
1852,INA,Asia
1890,ISL,Europe
1946,MAR,Africa
2004,ROU,Europe
2094,MLT,Europe
2125,LUX,Europe
2167,FRG,None
2171,PUR,America
2172,CYP,Asia
2205,ARG,America
2250,PAN,America
2435,NOR,Europe
2446,QAT,Asia
2489,PAK,Asia
2804,SYR,Asia
2923,TUR,Asia
3054,SUD,Africa
3057,FIN,Europe
3176,OMA,Asia
3387,YAR,None
4486,GRE,Europe
4946,NIG,Africa
5378,GUA,America
5383,TUN,Africa
5729,PER,America
5817,THA,Asia
5972,CAF,Africa
6094,VEN,America
6122,ISR,Asia
6199,TAN,Africa
6364,KOR,Asia
6518,YUG,None
6749,DEN,Europe
7248,MRI,Africa
7659,SGP,Asia
7940,POR,Europe
7997,BEL,Europe
8787,COL,America
8951,TTO,America
9750,LIB,Asia
10050,BOL,America
10115,FIJ,Oceania
10488,PHI,Asia
10497,SOL,Oceania
10849,AUT,Europe
10963,SAM,Oceania
11178,HON,America
11419,MAW,Africa
11690,CHN,Asia
11702,SEN,Africa
13035,COD,Africa
13633,BOT,Africa
14643,IVB,America
14885,GUY,America
15337,GRN,America
16603,BAR,America
17834,AHO,None
18618,CGO,Africa
19121,SLE,Africa
19124,ANT,America
20079,PAR,America
20349,ISV,America
21153,MAD,Africa
23965,CAY,America
24029,TOG,Africa
24817,SRI,Asia
24832,SMR,Europe
25235,SEY,Africa
25619,GEQ,Africa
31002,PNG,Oceania
31153,LIE,Europe
32364,BER,America
32862,RWA,Africa
34529,ESA,America
36685,IRL,Europe
37502,GAM,Africa
37605,NCA,America
38419,TPE,Asia
38730,DJI,Africa
38910,BIZ,America
39610,HKG,Asia
40065,BHU,Asia
40417,ZAM,Africa
40441,ZIM,Africa
40541,MOZ,Africa
42431,BAH,America
46535,SUR,America
48945,LBR,Africa
50100,BAN,Asia
54938,GUI,Africa
54949,MTN,Africa
56040,MLI,Africa
56354,CHA,Africa
56374,SWZ,Africa
60025,URU,America
67074,HAI,America
76689,AND,Europe
86803,NEP,Asia
88612,TGA,Oceania
133164,MYA,Asia
160176,GAB,Africa
162091,LES,Africa
