NOC,Medal,Count
ALG,Bronze,2
AUS,Bronze,12
AUS,Gold,4
AUS,Silver,8
AUT,Bronze,1
AUT,Gold,1
AUT,Silver,1
BEL,Bronze,2
BEL,Gold,1
BEL,Silver,1
BRA,Bronze,2
BRA,Gold,1
BRA,Silver,5
CAN,Bronze,16
CAN,Gold,10
CAN,Silver,18
CHN,Bronze,9
CHN,Gold,15
CHN,Silver,8
CIV,Silver,1
CMR,Bronze,1
COL,Silver,1
DEN,Bronze,3
DEN,Silver,3
DOM,Bronze,1
EGY,Silver,1
ESP,Bronze,2
ESP,Gold,1
ESP,Silver,2
FIN,Bronze,6
FIN,Gold,4
FIN,Silver,2
FRA,Bronze,16
FRA,Gold,5
FRA,Silver,7
FRG,Bronze,23
FRG,Gold,17
FRG,Silver,19
GBR,Bronze,21
GBR,Gold,5
GBR,Silver,11
GRE,Bronze,1
GRE,Silver,1
IRL,Silver,1
ISL,Bronze,1
ITA,Bronze,12
ITA,Gold,14
ITA,Silver,6
JAM,Bronze,2
JAM,Silver,1
JPN,Bronze,14
JPN,Gold,10
JPN,Silver,7
KEN,Bronze,2
KEN,Gold,1
KOR,Bronze,7
KOR,Gold,6
KOR,Silver,6
MAR,Gold,2
MEX,Bronze,1
MEX,Gold,2
MEX,Silver,3
NED,Bronze,6
NED,Gold,5
NED,Silver,2
NGR,Bronze,1
NGR,Silver,1
NOR,Bronze,2
NOR,Silver,1
NZL,Bronze,2
NZL,Gold,8
NZL,Silver,1
PAK,Gold,1
PER,Silver,1
POR,Bronze,2
POR,Gold,1
PUR,Bronze,1
PUR,Silver,1
ROU,Bronze,17
ROU,Gold,19
ROU,Silver,16
SUI,Bronze,4
SUI,Silver,4
SWE,Bronze,6
SWE,Gold,2
SWE,Silver,11
SYR,Silver,1
THA,Silver,1
TPE,Bronze,1
TUR,Bronze,3
USA,Bronze,30
USA,Gold,82
USA,Silver,61
VEN,Bronze,3
YUG,Bronze,7
YUG,Gold,7
YUG,Silver,4
ZAM,Bronze,1
