Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1984,Los Angeles,Aquatics,Diving,"LI, Kong-Zheng",CHN,Men,10M Platform,Bronze
1984,Los Angeles,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,10M Platform,Gold
1984,Los Angeles,Aquatics,Diving,"KIMBALL, Bruce D.",USA,Men,10M Platform,Silver
1984,Los Angeles,Aquatics,Diving,"WYLAND-WILLIAMS, Wendy Lian",USA,Women,10M Platform,Bronze
1984,Los Angeles,Aquatics,Diving,"ZHOU, Ji-Hong",CHN,Women,10M Platform,Gold
1984,Los Angeles,Aquatics,Diving,"MITCHELL, Michele",USA,Women,10M Platform,Silver
1984,Los Angeles,Aquatics,Diving,"MERRIOTT, Ronald Marshall",USA,Men,3M Springboard,Bronze
1984,Los Angeles,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,3M Springboard,Gold
1984,Los Angeles,Aquatics,Diving,"TAN, Liang-De",CHN,Men,3M Springboard,Silver
1984,Los Angeles,Aquatics,Diving,"SEUFERT, Christina",USA,Women,3M Springboard,Bronze
1984,Los Angeles,Aquatics,Diving,"BERNIER, Sylvie",CAN,Women,3M Springboard,Gold
1984,Los Angeles,Aquatics,Diving,"MCCORMICK, Kelly Anne",USA,Women,3M Springboard,Silver
1984,Los Angeles,Aquatics,Swimming,"WEST, Michael",CAN,Men,100M Backstroke,Bronze
1984,Los Angeles,Aquatics,Swimming,"CAREY, Richard John",USA,Men,100M Backstroke,Gold
1984,Los Angeles,Aquatics,Swimming,"WILSON, David Dennis",USA,Men,100M Backstroke,Silver
1984,Los Angeles,Aquatics,Swimming,"DE ROVER, Jolanda",NED,Women,100M Backstroke,Bronze
1984,Los Angeles,Aquatics,Swimming,"ANDREWS, Theresa",USA,Women,100M Backstroke,Gold
1984,Los Angeles,Aquatics,Swimming,"MITCHELL, Elizabeth",USA,Women,100M Backstroke,Silver
1984,Los Angeles,Aquatics,Swimming,"EVANS, Peter",AUS,Men,100M Breaststroke,Bronze
1984,Los Angeles,Aquatics,Swimming,"LUNDQUIST, Steven K.",USA,Men,100M Breaststroke,Gold
1984,Los Angeles,Aquatics,Swimming,"DAVIS, Victor",CAN,Men,100M Breaststroke,Silver
1984,Los Angeles,Aquatics,Swimming,"POIROT, Catherine",FRA,Women,100M Breaststroke,Bronze
1984,Los Angeles,Aquatics,Swimming,"VAN STAVEREN, Petra",NED,Women,100M Breaststroke,Gold
1984,Los Angeles,Aquatics,Swimming,"OTTENBRITE, Anne",CAN,Women,100M Breaststroke,Silver
1984,Los Angeles,Aquatics,Swimming,"BUCHANAN, Glenn",AUS,Men,100M Butterfly,Bronze
1984,Los Angeles,Aquatics,Swimming,"GROSS, Michael",FRG,Men,100M Butterfly,Gold
1984,Los Angeles,Aquatics,Swimming,"MORALES, Pablo",USA,Men,100M Butterfly,Silver
1984,Los Angeles,Aquatics,Swimming,"SEICK, Karin",FRG,Women,100M Butterfly,Bronze
1984,Los Angeles,Aquatics,Swimming,"MEAGHER, Mary T.",USA,Women,100M Butterfly,Gold
1984,Los Angeles,Aquatics,Swimming,"JOHNSON, Jenna Leigh",USA,Women,100M Butterfly,Silver
1984,Los Angeles,Aquatics,Swimming,"JOHANSSON, Per",SWE,Men,100M Freestyle,Bronze
1984,Los Angeles,Aquatics,Swimming,"GAINES, Ambrose Iv",USA,Men,100M Freestyle,Gold
1984,Los Angeles,Aquatics,Swimming,"STOCKWELL, Marcus",AUS,Men,100M Freestyle,Silver
1984,Los Angeles,Aquatics,Swimming,"VERSTAPPEN, Annemarie",NED,Women,100M Freestyle,Bronze
1984,Los Angeles,Aquatics,Swimming,"HOGSHEAD, Nancy Lynn",USA,Women,100M Freestyle,Gold
1984,Los Angeles,Aquatics,Swimming,"STEINSEIFER, Carolyn",USA,Women,100M Freestyle,Gold
1984,Los Angeles,Aquatics,Swimming,"PFEIFFER, Stefan",FRG,Men,1500M Freestyle,Bronze
1984,Los Angeles,Aquatics,Swimming,"O'BRIEN, Michael Jon",USA,Men,1500M Freestyle,Gold
1984,Los Angeles,Aquatics,Swimming,"DICARLO, George Thomas",USA,Men,1500M Freestyle,Silver
1984,Los Angeles,Aquatics,Swimming,"HENNING, Cameron",CAN,Men,200M Backstroke,Bronze
1984,Los Angeles,Aquatics,Swimming,"CAREY, Richard John",USA,Men,200M Backstroke,Gold
1984,Los Angeles,Aquatics,Swimming,"DELCOURT, Frederic",FRA,Men,200M Backstroke,Silver
1984,Los Angeles,Aquatics,Swimming,"PATRASCOIU, Aneta",ROU,Women,200M Backstroke,Bronze
1984,Los Angeles,Aquatics,Swimming,"DE ROVER, Jolanda",NED,Women,200M Backstroke,Gold
1984,Los Angeles,Aquatics,Swimming,"WHITE, Amy Lee",USA,Women,200M Backstroke,Silver
1984,Los Angeles,Aquatics,Swimming,"DAGON, Etienne",SUI,Men,200M Breaststroke,Bronze
1984,Los Angeles,Aquatics,Swimming,"DAVIS, Victor",CAN,Men,200M Breaststroke,Gold
