Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1984,United States,Los Angeles,United States,USA,83,61,30
1984,United States,Los Angeles,Romania,ROU,20,16,17
1984,United States,Los Angeles,West Germany,FRG,17,19,23
1984,United States,Los Angeles,China,CHN,15,8,9
1984,United States,Los Angeles,Italy,ITA,14,6,12
1984,United States,Los Angeles,Japan,JPN,10,8,14
1984,United States,Los Angeles,Canada,CAN,10,18,16
1984,United States,Los Angeles,New Zealand,NZL,8,1,2
1984,United States,Los Angeles,Yugoslavia,YUG,7,4,7
1984,United States,Los Angeles,South Korea,KOR,6,6,7
