NOC,Medal,Count
AHO,Silver,1
ARG,Bronze,1
ARG,Silver,1
AUS,Bronze,5
AUS,Gold,3
AUS,Silver,6
AUT,Gold,1
BEL,Bronze,2
BRA,Bronze,3
BRA,Gold,1
BRA,Silver,2
BUL,Bronze,13
BUL,Gold,10
BUL,Silver,12
CAN,Bronze,5
CAN,Gold,3
CAN,Silver,2
CHI,Silver,1
CHN,Bronze,12
CHN,Gold,5
CHN,Silver,11
COL,Bronze,1
CRC,Silver,1
DEN,Bronze,1
DEN,Gold,2
DEN,Silver,1
DJI,Bronze,1
ESP,Bronze,2
ESP,Gold,1
ESP,Silver,1
FIN,Bronze,2
FIN,Gold,1
FIN,Silver,1
FRA,Bronze,6
FRA,Gold,6
FRA,Silver,4
FRG,Bronze,15
FRG,Gold,11
FRG,Silver,14
GBR,Bronze,9
GBR,Gold,5
GBR,Silver,10
GDR,Bronze,30
GDR,Gold,37
GDR,Silver,35
GRE,Bronze,1
HUN,Bronze,6
HUN,Gold,11
HUN,Silver,6
INA,Silver,1
IRI,Silver,1
ISV,Silver,1
ITA,Bronze,4
ITA,Gold,6
ITA,Silver,4
JAM,Silver,2
JPN,Bronze,7
JPN,Gold,4
JPN,Silver,3
KEN,Bronze,2
KEN,Gold,5
KEN,Silver,2
KOR,Bronze,11
KOR,Gold,12
KOR,Silver,10
MAR,Bronze,2
MAR,Gold,1
MEX,Bronze,2
MGL,Bronze,1
NED,Bronze,5
NED,Gold,2
NED,Silver,2
NOR,Gold,2
NOR,Silver,3
NZL,Bronze,8
NZL,Gold,3
NZL,Silver,2
PAK,Bronze,1
PER,Silver,1
PHI,Bronze,1
POL,Bronze,9
POL,Gold,2
POL,Silver,5
POR,Gold,1
ROU,Bronze,6
ROU,Gold,7
ROU,Silver,11
SEN,Silver,1
SUI,Bronze,2
SUI,Silver,2
SUR,Gold,1
SWE,Bronze,7
SWE,Silver,4
TCH,Bronze,2
TCH,Gold,3
TCH,Silver,3
THA,Bronze,1
TUR,Gold,1
TUR,Silver,1
URS,Bronze,46
URS,Gold,54
URS,Silver,31
USA,Bronze,27
USA,Gold,36
USA,Silver,31
YUG,Bronze,5
YUG,Gold,3
YUG,Silver,4
