Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1988,Seoul,Aquatics,Diving,"MENA CAMPOS, Jesus",MEX,Men,10M Platform,Bronze
1988,Seoul,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,10M Platform,Gold
1988,Seoul,Aquatics,Diving,"XIONG, Ni",CHN,Men,10M Platform,Silver
1988,Seoul,Aquatics,Diving,"WYLAND-WILLIAMS, Wendy Lian",USA,Women,10M Platform,Bronze
1988,Seoul,Aquatics,Diving,"XU, Yan-Mei",CHN,Women,10M Platform,Gold
1988,Seoul,Aquatics,Diving,"MITCHELL, Michele",USA,Women,10M Platform,Silver
1988,Seoul,Aquatics,Diving,"LI, De-Liang",CHN,Men,3M Springboard,Bronze
1988,Seoul,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,3M Springboard,Gold
1988,Seoul,Aquatics,Diving,"TAN, Liang-De",CHN,Men,3M Springboard,Silver
1988,Seoul,Aquatics,Diving,"MCCORMICK, Kelly Anne",USA,Women,3M Springboard,Bronze
1988,Seoul,Aquatics,Diving,"GAO, Min",CHN,Women,3M Springboard,Gold
1988,Seoul,Aquatics,Diving,"LI, Qing",CHN,Women,3M Springboard,Silver
1988,Seoul,Aquatics,Swimming,"POLYANSKI, Igor",URS,Men,100M Backstroke,Bronze
1988,Seoul,Aquatics,Swimming,"SUZUKI, Daichi",JPN,Men,100M Backstroke,Gold
1988,Seoul,Aquatics,Swimming,"BERKOFF, David Charles",USA,Men,100M Backstroke,Silver
1988,Seoul,Aquatics,Swimming,"SIRCH, Cornelia",GDR,Women,100M Backstroke,Bronze
1988,Seoul,Aquatics,Swimming,"OTTO, Kristin",GDR,Women,100M Backstroke,Gold
1988,Seoul,Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,100M Backstroke,Silver
1988,Seoul,Aquatics,Swimming,"VOLKOV, Dmitri",URS,Men,100M Breaststroke,Bronze
1988,Seoul,Aquatics,Swimming,"MOORHOUSE, Adrian David",GBR,Men,100M Breaststroke,Gold
1988,Seoul,Aquatics,Swimming,"GUTTLER, Karoly",HUN,Men,100M Breaststroke,Silver
1988,Seoul,Aquatics,Swimming,"HÖRNER, Silke",GDR,Women,100M Breaststroke,Bronze
1988,Seoul,Aquatics,Swimming,"BOGOMILOVA-DANGALAKOVA, Tania",BUL,Women,100M Breaststroke,Gold
1988,Seoul,Aquatics,Swimming,"FRENKEVA, Antoaneta",BUL,Women,100M Breaststroke,Silver
1988,Seoul,Aquatics,Swimming,"JAMESON, Andrew Dasvid",GBR,Men,100M Butterfly,Bronze
1988,Seoul,Aquatics,Swimming,"NESTY, Anthony Conrad",SUR,Men,100M Butterfly,Gold
1988,Seoul,Aquatics,Swimming,"BIONDI, Matthew",USA,Men,100M Butterfly,Silver
1988,Seoul,Aquatics,Swimming,"QIAN, Hong",CHN,Women,100M Butterfly,Bronze
1988,Seoul,Aquatics,Swimming,"OTTO, Kristin",GDR,Women,100M Butterfly,Gold
1988,Seoul,Aquatics,Swimming,"WEIGANG, Birte",GDR,Women,100M Butterfly,Silver
1988,Seoul,Aquatics,Swimming,"CARON, Stephan",FRA,Men,100M Freestyle,Bronze
1988,Seoul,Aquatics,Swimming,"BIONDI, Matthew",USA,Men,100M Freestyle,Gold
1988,Seoul,Aquatics,Swimming,"JACOBS, Christopher Charles",USA,Men,100M Freestyle,Silver
1988,Seoul,Aquatics,Swimming,"PLEWINSKI, Catherine",FRA,Women,100M Freestyle,Bronze
1988,Seoul,Aquatics,Swimming,"OTTO, Kristin",GDR,Women,100M Freestyle,Gold
1988,Seoul,Aquatics,Swimming,"ZHUANG, Yong",CHN,Women,100M Freestyle,Silver
1988,Seoul,Aquatics,Swimming,"DASSLER, Uwe",GDR,Men,1500M Freestyle,Bronze
1988,Seoul,Aquatics,Swimming,"SALNIKOV, Vladimir",URS,Men,1500M Freestyle,Gold
1988,Seoul,Aquatics,Swimming,"PFEIFFER, Stefan",FRG,Men,1500M Freestyle,Silver
1988,Seoul,Aquatics,Swimming,"KINGSMAN, Paul",NZL,Men,200M Backstroke,Bronze
1988,Seoul,Aquatics,Swimming,"POLYANSKI, Igor",URS,Men,200M Backstroke,Gold
1988,Seoul,Aquatics,Swimming,"BALTRUSCH, Frank",GDR,Men,200M Backstroke,Silver
1988,Seoul,Aquatics,Swimming,"SIRCH, Cornelia",GDR,Women,200M Backstroke,Bronze
1988,Seoul,Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,200M Backstroke,Gold
1988,Seoul,Aquatics,Swimming,"ZIMMERMANN, Kathrin",GDR,Women,200M Backstroke,Silver
1988,Seoul,Aquatics,Swimming,"LOPEZ MIRO, Sergio",ESP,Men,200M Breaststroke,Bronze
1988,Seoul,Aquatics,Swimming,"SZABO, Jozsef",HUN,Men,200M Breaststroke,Gold
1988,Seoul,Aquatics,Swimming,"GILLINGHAM, Nick",GBR,Men,200M Breaststroke,Silver
1988,Seoul,Aquatics,Swimming,"FRENKEVA, Antoaneta",BUL,Women,200M Breaststroke,Bronze
