Unnamed: 0,NOC,continent
91,NED,Europe
151,BUL,Europe
218,ITA,Europe
240,LIB,Asia
357,EGY,Africa
445,ALG,Africa
457,DJI,Africa
516,MDV,Asia
537,YAR,None
564,UAE,Asia
582,NGR,Africa
604,KUW,Asia
622,URS,None
647,JPN,Asia
717,ESP,Europe
729,SWE,Europe
761,GDR,None
762,TUN,Africa
763,IRQ,Asia
852,NIG,Africa
856,LBA,Africa
884,HUN,Europe
897,IND,Asia
981,GUY,America
985,POR,Europe
1025,FRA,Europe
1049,USA,America
1051,FRG,None
1073,KEN,Africa
1110,JOR,Asia
1159,URU,America
1196,MAR,Africa
1229,CMR,Africa
1233,UGA,Africa
1235,BRA,America
1346,MEX,America
1384,MTN,Africa
1393,TCH,None
1478,VIN,America
1492,GBR,Europe
1493,PUR,America
1499,AUS,Oceania
1540,JAM,America
1549,PHI,Asia
1550,SOM,Africa
1597,GHA,Africa
1853,INA,Asia
1895,SUI,Europe
1956,IRI,Asia
1994,PAK,Asia
2055,HAI,America
2095,MLT,Europe
2182,ARG,America
2201,TOG,Africa
2272,CRC,America
2277,CHI,America
2518,YMD,Asia
2544,FIN,Europe
2816,TUR,Asia
3055,TAN,Africa
3182,KSA,Asia
3250,SYR,Asia
3253,OMA,Asia
3312,BRN,Asia
3478,QAT,Asia
3867,BAN,Asia
3933,BEN,Africa
3948,COL,America
4047,CAN,America
4323,DOM,America
4478,GRE,Europe
4639,BER,America
4833,SAM,Oceania
5274,NOR,Europe
5731,PER,America
5738,MAS,Asia
5973,CAF,Africa
6008,YUG,None
6123,ISR,Asia
6146,COD,Africa
6365,KOR,Asia
6788,GUM,Oceania
6797,NZL,Oceania
7327,ROU,Europe
7663,SGP,Asia
7688,HON,America
8027,SUD,Africa
8294,AUT,Europe
8592,BEL,Europe
8663,GUA,America
8845,ISL,Europe
8856,MOZ,Africa
9054,LUX,Europe
9493,IVB,America
10116,FIJ,Oceania
10229,SUR,America
10629,BAR,America
10740,SEN,Africa
10760,HKG,Asia
11118,PNG,Oceania
11120,ESA,America
11202,MGL,Asia
11221,CYP,Asia
11248,CIV,Africa
11420,MAW,Africa
12509,GUI,Africa
12916,CAY,America
13278,ISV,America
13715,ZIM,Africa
13794,POL,Europe
13909,DEN,Europe
15431,ANG,Africa
15716,NEP,Asia
15940,LIE,Europe
15995,MON,Europe
16423,SOL,Oceania
17043,BOL,America
18097,BIZ,America
18620,CGO,Africa
20580,SMR,Europe
22138,LBR,Africa
24200,AHO,None
24250,PAR,America
24769,VEN,America
24820,SRI,Asia
25620,GEQ,Africa
26887,GAB,Africa
30223,ANT,America
32473,IRL,Europe
33061,ZAM,Africa
33514,CHN,Asia
34120,MLI,Africa
38119,ECU,America
38395,TPE,Asia
38511,THA,Asia
39107,TTO,America
41014,MRI,Africa
43539,GRN,America
44441,BAH,America
48073,AFG,Asia
48654,GAM,Africa
49345,VAN,Oceania
50196,VIE,Asia
55126,PAN,America
56375,SWZ,Africa
56804,SLE,Africa
57617,BHU,Asia
60281,RWA,Africa
65684,ASA,Oceania
66213,TGA,Oceania
66735,ARU,America
66957,CHA,Africa
76685,BOT,Africa
83131,AND,Europe
111860,BUR,Africa
114752,COK,Oceania
116927,LES,Africa
117094,MYA,Asia
208294,LAO,Asia
