Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1988,South Korea,Seoul,Soviet Union,URS,55,31,46
1988,South Korea,Seoul,East Germany,GDR,37,35,30
1988,South Korea,Seoul,United States,USA,36,31,27
1988,South Korea,Seoul,South Korea,KOR,12,10,11
1988,South Korea,Seoul,West Germany,FRG,11,14,15
1988,South Korea,Seoul,Hungary,HUN,11,6,6
1988,South Korea,Seoul,Bulgaria,BUL,10,12,13
1988,South Korea,Seoul,Romania,ROU,7,11,6
1988,South Korea,Seoul,Italy,ITA,6,4,4
1988,South Korea,Seoul,France,FRA,6,4,6
