NOC,Medal,Count
ARG,Bronze,1
ARG,Silver,1
AUS,Bronze,14
AUS,Gold,13
AUS,Silver,8
AUT,Bronze,2
BAH,Bronze,1
BEL,Silver,2
BRA,Gold,1
BUL,Bronze,1
BUL,Gold,1
BUL,Silver,3
CAN,Bronze,3
CAN,Gold,2
CAN,Silver,1
CHI,Bronze,2
CHI,Silver,2
DEN,Bronze,1
DEN,Gold,1
DEN,Silver,2
FIN,Bronze,11
FIN,Gold,3
FIN,Silver,1
FRA,Bronze,6
FRA,Gold,4
FRA,Silver,4
GBR,Bronze,11
GBR,Gold,6
GBR,Silver,7
GER,Bronze,7
GER,Gold,6
GER,Silver,13
GRE,Bronze,1
HUN,Bronze,7
HUN,Gold,9
HUN,Silver,10
IND,Gold,1
IRI,Bronze,1
IRI,Gold,2
IRI,Silver,2
IRL,Bronze,3
IRL,Gold,1
IRL,Silver,1
ISL,Silver,1
ITA,Bronze,9
ITA,Gold,8
ITA,Silver,8
JPN,Bronze,3
JPN,Gold,4
JPN,Silver,10
KOR,Bronze,1
KOR,Silver,1
MEX,Bronze,1
MEX,Gold,1
NOR,Bronze,2
NOR,Gold,1
NZL,Gold,2
PAK,Silver,1
POL,Bronze,4
POL,Gold,1
POL,Silver,4
ROU,Bronze,5
ROU,Gold,5
ROU,Silver,3
RSA,Bronze,4
SUI,Bronze,1
SWE,Bronze,6
SWE,Gold,8
SWE,Silver,5
TCH,Bronze,1
TCH,Gold,1
TCH,Silver,4
TUR,Bronze,2
TUR,Gold,3
TUR,Silver,2
URS,Bronze,32
URS,Gold,37
URS,Silver,29
URU,Bronze,1
USA,Bronze,17
USA,Gold,32
USA,Silver,25
YUG,Silver,3
