Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1956,Australia/Sweden,Melbourne/Stockholm,Ireland,IRL,1,1,3
1956,Australia/Sweden,Melbourne/Stockholm,Denmark,DEN,1,2,1
1956,Australia/Sweden,Melbourne/Stockholm,Bulgaria,BUL,1,3,1
1956,Australia/Sweden,Melbourne/Stockholm,Brazil,BRA,1,0,0
1956,Australia/Sweden,Melbourne/Stockholm,Mexico,MEX,1,0,1
1956,Australia/Sweden,Melbourne/Stockholm,Norway,NOR,1,0,2
1956,Australia/Sweden,Melbourne/Stockholm,Canada,CAN,2,1,3
1956,Australia/Sweden,Melbourne/Stockholm,Iran,IRI,2,2,1
1956,Australia/Sweden,Melbourne/Stockholm,Bahamas,BAH,0,0,1
1956,Australia/Sweden,Melbourne/Stockholm,Czechoslovakia,TCH,1,4,1
1956,Australia/Sweden,Melbourne/Stockholm,Poland,POL,1,4,4
1956,Australia/Sweden,Melbourne/Stockholm,New Zealand,NZL,2,0,0
1956,Australia/Sweden,Melbourne/Stockholm,India,IND,1,0,0
1956,Australia/Sweden,Melbourne/Stockholm,Austria,AUT,0,0,2
1956,Australia/Sweden,Melbourne/Stockholm,South Africa,RSA,0,0,4
1956,Australia/Sweden,Melbourne/Stockholm,Pakistan,PAK,0,1,0
1956,Australia/Sweden,Melbourne/Stockholm,Uruguay,URU,0,0,1
1956,Australia/Sweden,Melbourne/Stockholm,Switzerland,SUI,0,0,1
1956,Australia/Sweden,Melbourne/Stockholm,Greece,GRE,0,0,1
1956,Australia/Sweden,Melbourne/Stockholm,Belgium,BEL,0,2,0
1956,Australia/Sweden,Melbourne/Stockholm,Chile,CHI,0,2,2
1956,Australia/Sweden,Melbourne/Stockholm,Yugoslavia,YUG,0,3,0
1956,Australia/Sweden,Melbourne/Stockholm,Iceland,ISL,0,1,0
1956,Australia/Sweden,Melbourne/Stockholm,South Korea,KOR,0,1,1
1956,Australia/Sweden,Melbourne/Stockholm,Argentina,ARG,0,1,1
1956,Australia/Sweden,Melbourne/Stockholm,Romania,ROU,5,3,5
1956,Australia/Sweden,Melbourne/Stockholm,Great Britain,GBR,6,7,11
1956,Australia/Sweden,Melbourne/Stockholm,United Team of Germany,EUA,6,13,7
1956,Australia/Sweden,Melbourne/Stockholm,Finland,FIN,3,1,11
1956,Australia/Sweden,Melbourne/Stockholm,Turkey,TUR,3,2,2
1956,Australia/Sweden,Melbourne/Stockholm,Japan,JPN,4,10,5
1956,Australia/Sweden,Melbourne/Stockholm,Sweden,SWE,8,5,6
1956,Australia/Sweden,Melbourne/Stockholm,United States,USA,32,25,17
1956,Australia/Sweden,Melbourne/Stockholm,Soviet Union,URS,37,29,32
1956,Australia/Sweden,Melbourne/Stockholm,France,FRA,4,4,6
1956,Australia/Sweden,Melbourne/Stockholm,Hungary,HUN,9,10,7
1956,Australia/Sweden,Melbourne/Stockholm,Italy,ITA,8,8,9
1956,Australia/Sweden,Melbourne/Stockholm,Australia,AUS,13,8,14
