Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1956,Australia/Sweden,Melbourne/Stockholm,Soviet Union,URS,37,29,32
1956,Australia/Sweden,Melbourne/Stockholm,United States,USA,32,25,17
1956,Australia/Sweden,Melbourne/Stockholm,Australia,AUS,13,8,14
1956,Australia/Sweden,Melbourne/Stockholm,Hungary,HUN,9,10,7
1956,Australia/Sweden,Melbourne/Stockholm,Italy,ITA,8,8,9
1956,Australia/Sweden,Melbourne/Stockholm,Sweden,SWE,8,5,6
1956,Australia/Sweden,Melbourne/Stockholm,United Team of Germany,EUA,6,13,7
1956,Australia/Sweden,Melbourne/Stockholm,Great Britain,GBR,6,7,11
1956,Australia/Sweden,Melbourne/Stockholm,Romania,ROU,5,3,5
1956,Australia/Sweden,Melbourne/Stockholm,France,FRA,4,4,6
