Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1956,Melbourne / Stockholm,Aquatics,Diving,"CONNER, Richard Carroll",USA,Men,10M Platform,Bronze
1956,Melbourne / Stockholm,Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,10M Platform,Gold
1956,Melbourne / Stockholm,Aquatics,Diving,"TOBIAN, Gary Milburn",USA,Men,10M Platform,Silver
1956,Melbourne / Stockholm,Aquatics,Diving,"MYERS-POPE, Paula Jean",USA,Women,10M Platform,Bronze
1956,Melbourne / Stockholm,Aquatics,Diving,"MCCORMICK, Patricia",USA,Women,10M Platform,Gold
1956,Melbourne / Stockholm,Aquatics,Diving,"STOVER-IRWIN, Juno Roslays",USA,Women,10M Platform,Silver
1956,Melbourne / Stockholm,Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,3M Springboard,Bronze
1956,Melbourne / Stockholm,Aquatics,Diving,"CLOTWORTHY, Robert Lynn",USA,Men,3M Springboard,Gold
1956,Melbourne / Stockholm,Aquatics,Diving,"HARPER, Donald De Wayne",USA,Men,3M Springboard,Silver
1956,Melbourne / Stockholm,Aquatics,Diving,"MAC DONALD, Irene Margaret",CAN,Women,3M Springboard,Bronze
1956,Melbourne / Stockholm,Aquatics,Diving,"MCCORMICK, Patricia",USA,Women,3M Springboard,Gold
1956,Melbourne / Stockholm,Aquatics,Diving,"STUNYO, Jeanne Georgetta",USA,Women,3M Springboard,Silver
1956,Melbourne / Stockholm,Aquatics,Swimming,"MCKINNEY, Frank Edward Jr.",USA,Men,100M Backstroke,Bronze
1956,Melbourne / Stockholm,Aquatics,Swimming,"THEILE, David Egmont",AUS,Men,100M Backstroke,Gold
1956,Melbourne / Stockholm,Aquatics,Swimming,"MONCKTON, John James",AUS,Men,100M Backstroke,Silver
1956,Melbourne / Stockholm,Aquatics,Swimming,"EDWARDS, Margaret",GBR,Women,100M Backstroke,Bronze
