NOC,Medal,Count
AFG,Bronze,1
ALG,Bronze,1
ALG,Silver,1
ARG,Bronze,4
ARG,Gold,2
ARM,Bronze,6
AUS,Bronze,17
AUS,Gold,14
AUS,Silver,15
AUT,Bronze,2
AUT,Silver,1
AZE,Bronze,4
AZE,Gold,1
AZE,Silver,2
BAH,Bronze,1
BAH,Silver,1
BEL,Gold,1
BEL,Silver,1
BLR,Bronze,9
BLR,Gold,4
BLR,Silver,5
BRA,Bronze,9
BRA,Gold,3
BRA,Silver,4
BUL,Bronze,3
BUL,Gold,1
BUL,Silver,1
CAN,Bronze,7
CAN,Gold,3
CAN,Silver,9
CHI,Silver,1
CHN,Bronze,28
CHN,Gold,51
CHN,Silver,21
CMR,Gold,1
COL,Bronze,1
COL,Silver,1
CRO,Bronze,3
CRO,Silver,2
CUB,Bronze,11
CUB,Gold,2
CUB,Silver,11
CZE,Gold,3
CZE,Silver,3
DEN,Bronze,3
DEN,Gold,2
DEN,Silver,2
DOM,Gold,1
DOM,Silver,1
ECU,Silver,1
EGY,Bronze,1
ESP,Bronze,3
ESP,Gold,5
ESP,Silver,10
EST,Gold,1
EST,Silver,1
ETH,Bronze,2
ETH,Gold,4
ETH,Silver,1
FIN,Bronze,2
FIN,Gold,1
FIN,Silver,1
FRA,Bronze,18
FRA,Gold,7
FRA,Silver,16
GBR,Bronze,16
GBR,Gold,19
GBR,Silver,13
GEO,Bronze,3
GEO,Gold,3
GER,Bronze,15
GER,Gold,16
GER,Silver,10
GRE,Bronze,2
GRE,Silver,2
HUN,Bronze,2
HUN,Gold,3
HUN,Silver,5
INA,Bronze,3
INA,Gold,1
INA,Silver,1
IND,Bronze,2
IND,Gold,1
IRI,Bronze,1
IRI,Gold,1
IRL,Bronze,2
IRL,Silver,1
ISL,Silver,1
ISR,Bronze,1
ITA,Bronze,10
ITA,Gold,8
ITA,Silver,9
JAM,Bronze,2
JAM,Gold,5
JAM,Silver,2
JPN,Bronze,9
JPN,Gold,9
JPN,Silver,7
KAZ,Bronze,7
KAZ,Gold,2
KAZ,Silver,4
KEN,Bronze,5
KEN,Gold,6
KEN,Silver,4
KGZ,Bronze,1
KGZ,Silver,1
KOR,Bronze,8
KOR,Gold,13
KOR,Silver,10
LAT,Bronze,1
LAT,Gold,1
LAT,Silver,1
LTU,Bronze,3
LTU,Silver,2
MAR,Bronze,1
MAR,Silver,1
MAS,Silver,1
MDA,Bronze,1
MEX,Bronze,1
MEX,Gold,2
MGL,Gold,2
MGL,Silver,2
MRI,Bronze,1
NED,Bronze,4
NED,Gold,7
NED,Silver,5
NGR,Bronze,3
NGR,Silver,1
NOR,Bronze,1
NOR,Gold,3
NOR,Silver,5
NZL,Bronze,4
NZL,Gold,3
NZL,Silver,2
PAN,Gold,1
POL,Bronze,1
POL,Gold,3
POL,Silver,6
POR,Gold,1
POR,Silver,1
PRK,Bronze,3
PRK,Gold,2
PRK,Silver,1
ROU,Bronze,3
ROU,Gold,4
ROU,Silver,1
RSA,Silver,1
RUS,Bronze,28
RUS,Gold,23
RUS,Silver,21
SGP,Silver,1
SLO,Bronze,2
SLO,Gold,1
SLO,Silver,2
SRB,Bronze,2
SRB,Silver,1
SUD,Silver,1
SUI,Bronze,4
SUI,Gold,2
SUI,Silver,1
SVK,Bronze,1
SVK,Gold,3
SVK,Silver,2
SWE,Bronze,1
SWE,Silver,4
THA,Gold,2
THA,Silver,2
TJK,Bronze,1
TJK,Silver,1
TOG,Bronze,1
TPE,Bronze,4
TTO,Gold,1
TTO,Silver,1
TUN,Gold,1
TUR,Bronze,3
TUR,Gold,1
TUR,Silver,3
UKR,Bronze,15
UKR,Gold,7
UKR,Silver,5
USA,Bronze,35
USA,Gold,36
USA,Silver,39
UZB,Bronze,3
UZB,Gold,1
UZB,Silver,2
VEN,Bronze,1
VIE,Silver,1
ZIM,Gold,1
ZIM,Silver,3
