NOC,Medal,Count
ARG,Bronze,1
ARG,Silver,1
AUS,Bronze,6
AUS,Gold,8
AUS,Silver,8
AUT,Gold,1
AUT,Silver,1
BEL,Bronze,2
BEL,Silver,2
BRA,Bronze,2
BUL,Bronze,3
BUL,Gold,1
BUL,Silver,3
CAN,Silver,1
DEN,Bronze,1
DEN,Gold,2
DEN,Silver,3
ESP,Bronze,1
ETH,Gold,1
FIN,Bronze,3
FIN,Gold,1
FIN,Silver,1
FRA,Bronze,3
FRA,Silver,2
GBR,Bronze,12
GBR,Gold,2
GBR,Silver,6
GER,Bronze,11
GER,Gold,12
GER,Silver,19
GHA,Silver,1
GRE,Gold,1
HUN,Bronze,7
HUN,Gold,6
HUN,Silver,8
IND,Silver,1
IRI,Bronze,3
IRI,Silver,1
IRQ,Bronze,1
ITA,Bronze,13
ITA,Gold,13
ITA,Silver,10
JPN,Bronze,7
JPN,Gold,4
JPN,Silver,7
MAR,Silver,1
MEX,Bronze,1
NED,Bronze,2
NED,Silver,1
NOR,Gold,1
NZL,Bronze,1
NZL,Gold,2
PAK,Bronze,1
PAK,Gold,1
POL,Bronze,11
POL,Gold,4
POL,Silver,6
POR,Silver,1
ROU,Bronze,6
ROU,Gold,3
ROU,Silver,1
RSA,Bronze,2
RSA,Silver,1
SGP,Silver,1
SUI,Bronze,3
SUI,Silver,3
SWE,Bronze,3
SWE,Gold,1
SWE,Silver,2
TCH,Bronze,3
TCH,Gold,3
TCH,Silver,2
TPE,Silver,1
TUR,Gold,7
TUR,Silver,2
UAR,Bronze,1
UAR,Silver,1
URS,Bronze,31
URS,Gold,43
URS,Silver,29
USA,Bronze,16
USA,Gold,34
USA,Silver,21
VEN,Bronze,1
WIF,Bronze,2
YUG,Gold,1
YUG,Silver,1
