Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1960,Italy,Rome,Sweden,SWE,1,2,3
1960,Italy,Rome,Finland,FIN,1,1,3
1960,Italy,Rome,New Zealand,NZL,2,0,1
1960,Italy,Rome,Great Britain,GBR,2,6,12
1960,Italy,Rome,Denmark,DEN,2,3,1
1960,Italy,Rome,Austria,AUT,1,1,0
1960,Italy,Rome,Greece,GRE,1,0,0
1960,Italy,Rome,Norway,NOR,1,0,0
1960,Italy,Rome,Ethiopia,ETH,1,0,0
1960,Italy,Rome,Yugoslavia,YUG,1,1,0
1960,Italy,Rome,Pakistan,PAK,1,0,1
1960,Italy,Rome,United Team of Germany,EUA,12,19,11
1960,Italy,Rome,Australia,AUS,8,8,6
1960,Italy,Rome,Italy,ITA,13,10,13
1960,Italy,Rome,Soviet Union,URS,43,29,31
1960,Italy,Rome,United States,USA,34,21,16
1960,Italy,Rome,Turkey,TUR,7,2,0
1960,Italy,Rome,Czechoslovakia,TCH,3,2,3
1960,Italy,Rome,Romania,ROU,3,1,6
1960,Italy,Rome,Poland,POL,4,6,11
1960,Italy,Rome,Hungary,HUN,6,8,7
1960,Italy,Rome,Japan,JPN,4,7,7
1960,Italy,Rome,Singapore,SIN,0,1,0
1960,Italy,Rome,Brazil,BRA,0,0,2
1960,Italy,Rome,Republic of China,ROC,0,1,0
1960,Italy,Rome,Morocco,MAR,0,1,0
1960,Italy,Rome,Portugal,POR,0,1,0
1960,Italy,Rome,British West Indies,BWI,0,0,2
1960,Italy,Rome,Venezuela,VEN,0,0,1
1960,Italy,Rome,Bulgaria,BUL,1,3,3
1960,Italy,Rome,Spain,ESP,0,0,1
1960,Italy,Rome,Iraq,IRQ,0,0,1
1960,Italy,Rome,Mexico,MEX,0,0,1
1960,Italy,Rome,India,IND,0,1,0
1960,Italy,Rome,Iran,IRI,0,1,3
1960,Italy,Rome,Netherlands,NED,0,1,2
1960,Italy,Rome,Belgium,BEL,0,2,2
1960,Italy,Rome,Switzerland,SUI,0,3,3
1960,Italy,Rome,France,FRA,0,2,3
1960,Italy,Rome,South Africa,RSA,0,1,2
1960,Italy,Rome,Canada,CAN,0,1,0
1960,Italy,Rome,Ghana,GHA,0,1,0
1960,Italy,Rome,Egypt,EGY,0,1,1
1960,Italy,Rome,Argentina,ARG,0,1,1
