Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1960,Italy,Rome,Soviet Union,URS,43,29,31
1960,Italy,Rome,United States,USA,34,21,16
1960,Italy,Rome,Italy,ITA,13,10,13
1960,Italy,Rome,United Team of Germany,EUA,12,19,11
1960,Italy,Rome,Australia,AUS,8,8,6
1960,Italy,Rome,Turkey,TUR,7,2,0
1960,Italy,Rome,Hungary,HUN,6,8,7
1960,Italy,Rome,Japan,JPN,4,7,7
1960,Italy,Rome,Poland,POL,4,6,11
1960,Italy,Rome,Czechoslovakia,TCH,3,2,3
