Unnamed: 0,NOC,continent
32,FIN,Europe
92,NED,Europe
105,NOR,Europe
138,EST,Europe
180,TUR,Asia
182,ESP,Europe
219,ITA,Europe
233,PAK,Asia
269,CAN,America
301,EGY,Africa
367,LBA,Africa
456,QAT,Asia
480,COM,Africa
488,CHA,Africa
496,MAS,Asia
502,BRU,Asia
536,UAE,Asia
579,SGP,Asia
584,AZE,Asia
586,UZB,Asia
645,JPN,Asia
719,CMR,Africa
742,ALG,Africa
754,CIV,Africa
800,GHA,Africa
874,USA,America
900,IND,Asia
958,GEO,Asia
959,SLO,Europe
988,POR,Europe
992,FRA,Europe
1019,VEN,America
1063,PLE,Asia
1068,KAZ,Asia
1097,MEX,America
1199,MAR,Africa
1212,UGA,Africa
1241,GER,Europe
1383,SUD,Africa
1410,GRE,Europe
1503,AUS,Oceania
1551,SOM,Africa
1619,NGR,Africa
1625,SUR,America
1675,ETH,Africa
1784,SYR,Asia
1828,PUR,America
1856,BRA,America
1872,HUN,Europe
1888,UKR,Europe
1935,RUS,Europe
2021,CRO,Europe
2029,DMA,America
2056,HAI,America
2156,TUN,Africa
2176,BEN,Africa
2211,CUB,America
2324,NCA,America
2337,KEN,Africa
2343,GBR,Europe
2505,IRQ,Asia
2617,ARG,America
2628,MTN,Africa
2694,RSA,Africa
2963,BLR,Europe
2998,PNG,Oceania
3064,TOG,Africa
3145,DEN,Europe
3164,KUW,Asia
3167,KSA,Asia
3288,BRN,Asia
3450,OMA,Asia
3462,YEM,Asia
3657,JOR,Asia
3872,BAN,Asia
4021,SWE,Europe
4324,DOM,America
4325,LTU,Europe
4346,KGZ,Asia
4401,ISR,Asia
4529,ISL,Europe
4745,DJI,Africa
4777,MDA,Europe
5044,IRL,Europe
5074,TTO,America
5235,GBS,Africa
5523,ROU,Europe
5859,SLE,Africa
5945,COD,Africa
6096,SMR,Europe
6127,MDV,Asia
6198,LAO,Asia
6385,KOR,Asia
6437,CHN,Asia
6467,SOL,Oceania
6800,NZL,Oceania
7218,CPV,Africa
7349,CYP,Asia
7645,BUL,Europe
7689,HON,America
8070,SUI,Europe
8287,JAM,America
8602,BEL,Europe
8760,COL,America
8771,CHI,America
8901,INA,Asia
9166,PER,America
10485,GEQ,Africa
10578,TKM,Asia
10919,IVB,America
11243,ARM,Asia
11938,SEY,Africa
12572,TPE,Asia
12580,STP,Africa
12861,CGO,Africa
12952,CZE,Europe
13172,SVK,Europe
13470,VIN,America
13631,BOT,Africa
14093,LCA,America
14236,POL,Europe
14293,CAY,America
14478,AND,Europe
14546,URU,America
14763,ANT,America
15722,SKN,America
15873,SCG,None
15905,PAN,America
16141,AUT,Europe
16296,PAR,America
16550,MGL,Asia
16831,BER,America
17502,MRI,Africa
18300,ISV,America
19083,NAM,Africa
19117,ESA,America
19119,GUM,Oceania
19978,LAT,Europe
21671,CAF,Africa
22462,ALB,Europe
22515,SRI,Asia
22521,ANG,Africa
22755,ZIM,Africa
23572,LIE,Europe
23801,GUA,America
24260,NEP,Asia
24742,FIJ,Oceania
25153,MLT,Europe
25606,TJK,Asia
26390,MKD,Europe
26993,GAB,Africa
28856,CRC,America
29259,PHI,Asia
29408,GRN,America
30057,ASA,Oceania
33546,ECU,America
33857,BOL,America
34104,MLI,Africa
34919,VIE,Asia
38078,HKG,Asia
38741,THA,Asia
40670,PRK,Asia
41008,ZAM,Africa
41046,LIB,Asia
42433,BAH,America
44517,LBR,Africa
47157,BAR,America
49178,AHO,None
53207,BIH,Europe
54349,NRU,Oceania
54867,SEN,Africa
54940,GUI,Africa
55031,MON,Europe
56087,ARU,America
58038,GUY,America
58095,LUX,Europe
58479,GAM,Africa
66296,IRI,Asia
76261,BIZ,America
76690,BDI,Africa
76741,SAM,Oceania
78643,AFG,Asia
92715,TGA,Oceania
93849,CAM,Asia
95586,TAN,Africa
99919,MYA,Asia
103857,RWA,Africa
104850,VAN,Oceania
110569,MOZ,Africa
111043,BHU,Asia
111657,BUR,Africa
119298,NIG,Africa
121924,LES,Africa
147141,SWZ,Africa
164732,MAW,Africa
173905,COK,Oceania
196231,MAD,Africa
