NOC,Medal,Count
ALG,Bronze,1
ALG,Gold,2
ARG,Bronze,1
ARG,Silver,2
ARM,Gold,1
ARM,Silver,1
AUS,Bronze,23
AUS,Gold,9
AUS,Silver,9
AUT,Bronze,2
AUT,Silver,1
AZE,Silver,1
BAH,Silver,1
BDI,Gold,1
BEL,Bronze,2
BEL,Gold,2
BEL,Silver,2
BLR,Bronze,8
BLR,Gold,1
BLR,Silver,6
BRA,Bronze,9
BRA,Gold,3
BRA,Silver,3
BUL,Bronze,5
BUL,Gold,3
BUL,Silver,7
CAN,Bronze,8
CAN,Gold,3
CAN,Silver,11
CHN,Bronze,12
CHN,Gold,16
CHN,Silver,22
CRC,Gold,1
CRO,Gold,1
CRO,Silver,1
CUB,Bronze,8
CUB,Gold,9
CUB,Silver,8
CZE,Bronze,4
CZE,Gold,4
CZE,Silver,3
DEN,Bronze,1
DEN,Gold,4
DEN,Silver,1
ECU,Gold,1
ESP,Bronze,6
ESP,Gold,5
ESP,Silver,6
ETH,Bronze,1
ETH,Gold,2
FIN,Bronze,1
FIN,Gold,1
FIN,Silver,2
FRA,Bronze,15
FRA,Gold,15
FRA,Silver,7
GBR,Bronze,6
GBR,Gold,1
GBR,Silver,8
GEO,Bronze,2
GER,Bronze,27
GER,Gold,20
GER,Silver,18
GRE,Gold,4
GRE,Silver,4
HKG,Gold,1
HUN,Bronze,10
HUN,Gold,7
HUN,Silver,4
INA,Bronze,2
INA,Gold,1
INA,Silver,1
IND,Bronze,1
IRI,Bronze,1
IRI,Gold,1
IRI,Silver,1
IRL,Bronze,1
IRL,Gold,3
ISR,Bronze,1
ITA,Bronze,12
ITA,Gold,13
ITA,Silver,10
JAM,Bronze,2
JAM,Gold,1
JAM,Silver,3
JPN,Bronze,5
JPN,Gold,3
JPN,Silver,6
KAZ,Bronze,4
KAZ,Gold,3
KAZ,Silver,4
KEN,Bronze,3
KEN,Gold,1
KEN,Silver,4
KOR,Bronze,5
KOR,Gold,7
KOR,Silver,15
LAT,Silver,1
LTU,Bronze,1
MAR,Bronze,2
MAS,Bronze,1
MAS,Silver,1
MDA,Bronze,1
MDA,Silver,1
MEX,Bronze,1
MGL,Bronze,1
MOZ,Bronze,1
NAM,Silver,2
NED,Bronze,10
NED,Gold,4
NED,Silver,5
NGR,Bronze,3
NGR,Gold,2
NGR,Silver,1
NOR,Bronze,3
NOR,Gold,2
NOR,Silver,2
NZL,Bronze,1
NZL,Gold,3
NZL,Silver,2
PHI,Silver,1
POL,Bronze,5
POL,Gold,7
POL,Silver,5
POR,Bronze,1
POR,Gold,1
PRK,Bronze,2
PRK,Gold,2
PRK,Silver,1
PUR,Bronze,1
ROU,Bronze,8
ROU,Gold,4
ROU,Silver,7
RSA,Bronze,1
RSA,Gold,3
RSA,Silver,1
RUS,Bronze,16
RUS,Gold,26
RUS,Silver,21
SCG,Bronze,2
SCG,Gold,1
SCG,Silver,1
SLO,Silver,2
SUI,Gold,4
SUI,Silver,3
SVK,Bronze,1
SVK,Gold,1
SVK,Silver,1
SWE,Bronze,2
SWE,Gold,2
SWE,Silver,4
SYR,Gold,1
TGA,Silver,1
THA,Bronze,1
THA,Gold,1
TPE,Silver,1
TTO,Bronze,2
TUN,Bronze,1
TUR,Bronze,1
TUR,Gold,4
TUR,Silver,1
UGA,Bronze,1
UKR,Bronze,12
UKR,Gold,9
UKR,Silver,2
USA,Bronze,25
USA,Gold,44
USA,Silver,32
UZB,Bronze,1
UZB,Silver,1
ZAM,Silver,1
