NOC,Medal,Count
ALG,Bronze,3
ALG,Gold,1
ALG,Silver,1
ARG,Bronze,2
ARG,Silver,2
ARM,Bronze,1
AUS,Bronze,17
AUS,Gold,16
AUS,Silver,25
AUT,Gold,2
AUT,Silver,1
AZE,Bronze,1
AZE,Gold,2
BAH,Bronze,1
BAH,Gold,2
BAR,Bronze,1
BEL,Bronze,3
BEL,Silver,2
BLR,Bronze,11
BLR,Gold,3
BLR,Silver,3
BRA,Bronze,6
BRA,Silver,6
BUL,Bronze,2
BUL,Gold,5
BUL,Silver,6
CAN,Bronze,8
CAN,Gold,3
CAN,Silver,3
CHI,Bronze,1
CHN,Bronze,14
CHN,Gold,28
CHN,Silver,16
CMR,Gold,1
COL,Gold,1
CRC,Bronze,2
CRO,Bronze,1
CRO,Gold,1
CUB,Bronze,7
CUB,Gold,11
CUB,Silver,11
CZE,Bronze,3
CZE,Gold,2
CZE,Silver,3
DEN,Bronze,1
DEN,Gold,2
DEN,Silver,3
ESP,Bronze,5
ESP,Gold,3
ESP,Silver,3
EST,Bronze,2
EST,Gold,1
ETH,Bronze,3
ETH,Gold,4
ETH,Silver,1
FIN,Bronze,1
FIN,Gold,2
FIN,Silver,1
FRA,Bronze,11
FRA,Gold,13
FRA,Silver,14
GBR,Bronze,7
GBR,Gold,11
GBR,Silver,10
GEO,Bronze,6
GER,Bronze,26
GER,Gold,13
GER,Silver,17
GRE,Bronze,3
GRE,Gold,4
GRE,Silver,6
HUN,Bronze,3
HUN,Gold,8
HUN,Silver,6
INA,Bronze,2
INA,Gold,1
INA,Silver,3
IND,Bronze,1
IRI,Bronze,1
IRI,Gold,3
IRL,Silver,1
ISL,Bronze,1
ISR,Bronze,1
ITA,Bronze,13
ITA,Gold,13
ITA,Silver,8
JAM,Bronze,3
JAM,Silver,6
JPN,Bronze,5
JPN,Gold,5
JPN,Silver,8
KAZ,Gold,3
KAZ,Silver,4
KEN,Bronze,2
KEN,Gold,2
KEN,Silver,3
KGZ,Bronze,1
KOR,Bronze,10
KOR,Gold,8
KOR,Silver,10
KSA,Bronze,1
KSA,Silver,1
KUW,Bronze,1
LAT,Bronze,1
LAT,Gold,1
LAT,Silver,1
LTU,Bronze,3
LTU,Gold,2
MAR,Bronze,4
MAR,Silver,1
MDA,Bronze,1
MDA,Silver,1
MEX,Bronze,3
MEX,Gold,1
MEX,Silver,2
MKD,Bronze,1
MOZ,Gold,1
NED,Bronze,4
NED,Gold,12
NED,Silver,9
NGR,Gold,1
NGR,Silver,2
NOR,Bronze,3
NOR,Gold,4
NOR,Silver,3
NZL,Bronze,3
NZL,Gold,1
POL,Bronze,3
POL,Gold,6
POL,Silver,5
POR,Bronze,2
PRK,Bronze,3
PRK,Silver,1
QAT,Bronze,1
ROU,Bronze,9
ROU,Gold,11
ROU,Silver,6
RSA,Bronze,3
RSA,Silver,2
RUS,Bronze,29
RUS,Gold,32
RUS,Silver,28
SCG,Bronze,1
SCG,Gold,1
SCG,Silver,1
SLO,Gold,2
SRI,Silver,1
SUI,Bronze,2
SUI,Gold,1
SUI,Silver,6
SVK,Bronze,1
SVK,Gold,1
SVK,Silver,3
SWE,Bronze,3
SWE,Gold,4
SWE,Silver,5
THA,Bronze,2
THA,Gold,1
TPE,Bronze,4
TPE,Silver,1
TTO,Bronze,1
TTO,Silver,1
TUR,Bronze,2
TUR,Gold,3
UKR,Bronze,10
UKR,Gold,3
UKR,Silver,10
URU,Silver,1
USA,Bronze,31
USA,Gold,36
USA,Silver,24
UZB,Bronze,2
UZB,Gold,1
UZB,Silver,1
VIE,Silver,1
