Unnamed: 0,NOC,continent
31,FIN,Europe
81,NOR,Europe
93,NED,Europe
146,EGY,Africa
165,ARG,America
168,CUB,America
178,CMR,Africa
184,MEX,America
220,ITA,Europe
247,PAK,Asia
259,AZE,Asia
270,CAN,America
466,USA,America
470,AUS,Oceania
495,KUW,Asia
497,MAS,Asia
503,BRU,Asia
504,SUD,Africa
517,BRN,Asia
587,UZB,Asia
643,JPN,Asia
692,ESP,Europe
720,ETH,Africa
749,SRI,Asia
838,SYR,Asia
851,MAR,Africa
902,SWE,Europe
1034,RUS,Europe
1066,JOR,Asia
1072,CHN,Asia
1188,GER,Europe
1200,GBR,Europe
1213,UGA,Africa
1261,SLO,Europe
1337,TUR,Asia
1457,RSA,Africa
1545,GHA,Africa
1565,ALG,Africa
1629,SUR,America
1655,SOM,Africa
1700,LBA,Africa
1714,FRA,Europe
1790,PLW,Oceania
1807,LTU,Europe
1857,BRA,America
1889,UKR,Europe
1965,IRI,Asia
1969,NGR,Africa
1981,GRE,Europe
2022,CRO,Europe
2026,DMA,America
2061,DEN,Europe
2203,ANG,Africa
2496,IRQ,Asia
2514,MDV,Asia
2711,NZL,Oceania
2747,PER,America
2801,SCG,None
2807,HUN,Europe
2817,CIV,Africa
2942,CYP,Asia
2970,KAZ,Asia
2974,KGZ,Asia
2981,BAN,Asia
3168,KSA,Asia
3220,QAT,Asia
3238,LIB,Asia
3293,OMA,Asia
3298,PLE,Asia
3514,YEM,Asia
3539,UAE,Asia
4295,ROU,Europe
4414,BLR,Europe
4516,TTO,America
4536,ISL,Europe
4718,NIG,Africa
4759,DJI,Africa
4941,SVK,Europe
4967,GUY,America
5029,JAM,America
5067,BAR,America
5545,VEN,America
5562,CHI,America
5861,IOA,Special
5985,AUT,Europe
6040,INA,Asia
6060,BAH,America
6097,SMR,Europe
6454,MOZ,Africa
7267,POR,Europe
7574,CZE,Europe
7622,IND,Asia
7717,BUL,Europe
8071,SUI,Europe
8604,BEL,Europe
8655,MLT,Europe
9056,LUX,Europe
9289,GBS,Africa
9599,TUN,Africa
10009,GEO,Asia
10301,ERI,Africa
10579,TKM,Asia
10912,MAD,Africa
10914,MRI,Africa
10995,EST,Europe
11151,ISR,Asia
11244,ARM,Asia
11281,KEN,Africa
11730,MGL,Asia
12371,KOR,Asia
12514,GUI,Africa
12862,CGO,Africa
13237,POL,Europe
13471,VIN,America
13756,TOG,Africa
14150,ECU,America
14325,SEY,Africa
14547,URU,America
14591,GEQ,Africa
14764,ANT,America
15700,BOT,Africa
15724,SKN,America
15906,PAN,America
15976,COM,Africa
16636,TAN,Africa
17046,COL,America
17521,ISV,America
18331,SLE,Africa
18429,LAT,Europe
20210,AND,Europe
20327,MON,Europe
21229,SWZ,Africa
22441,ARU,America
22506,MDA,Europe
22757,ZIM,Africa
23067,CRC,America
23085,GUA,America
24425,NEP,Asia
24550,PNG,Oceania
26393,MKD,Europe
27250,GAB,Africa
27339,SGP,Asia
28675,IRL,Europe
29260,PHI,Asia
29676,BER,America
32789,PUR,America
33063,ZAM,Africa
33319,DOM,America
34075,BOL,America
34112,MLI,Africa
34754,PAR,America
36768,HON,America
37931,PRK,Asia
38301,HKG,Asia
38338,TPE,Asia
39891,MYA,Asia
40298,MAW,Africa
40545,GUM,Oceania
40665,BHU,Asia
41887,THA,Asia
42070,SEN,Africa
42672,HAI,America
42758,IVB,America
43992,CAF,Africa
44473,LBR,Africa
46867,NCA,America
48844,BEN,Africa
49180,AHO,None
55439,MTN,Africa
55723,ESA,America
56486,CPV,Africa
56727,TJK,Asia
67228,BIH,Europe
74641,GAM,Africa
77607,LIE,Europe
77640,NAM,Africa
79883,RWA,Africa
81293,STP,Africa
91960,BDI,Africa
93847,CAM,Asia
94366,LCA,America
95752,SOL,Oceania
100624,GRN,America
104213,SAM,Oceania
110111,BIZ,America
112470,COD,Africa
113122,VAN,Oceania
115382,LES,Africa
116514,LAO,Asia
125426,TGA,Oceania
143856,ALB,Europe
144266,VIE,Asia
155301,CAY,America
159734,FSM,Oceania
160108,ASA,Oceania
167284,CHA,Africa
167636,FIJ,Oceania
179301,BUR,Africa
185179,NRU,Oceania
237359,COK,Oceania
