Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
2000,Sydney,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,10M Platform,Bronze
2000,Sydney,Aquatics,Diving,"TIAN, Liang",CHN,Men,10M Platform,Gold
2000,Sydney,Aquatics,Diving,"HU, Jia",CHN,Men,10M Platform,Silver
2000,Sydney,Aquatics,Diving,"MONTMINY, Anne Katherine",CAN,Women,10M Platform,Bronze
2000,Sydney,Aquatics,Diving,"WILKINSON, Laura",USA,Women,10M Platform,Gold
2000,Sydney,Aquatics,Diving,"LI, Na",CHN,Women,10M Platform,Silver
2000,Sydney,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,3M Springboard,Bronze
2000,Sydney,Aquatics,Diving,"XIONG, Ni",CHN,Men,3M Springboard,Gold
2000,Sydney,Aquatics,Diving,"PLATAS, Fernando",MEX,Men,3M Springboard,Silver
2000,Sydney,Aquatics,Diving,"LINDNER, Doerte",GER,Women,3M Springboard,Bronze
2000,Sydney,Aquatics,Diving,"FU, Mingxia",CHN,Women,3M Springboard,Gold
2000,Sydney,Aquatics,Diving,"GUO, Jingjing",CHN,Women,3M Springboard,Silver
2000,Sydney,Aquatics,Diving,"HEMPEL, Jan",GER,Men,Synchronized Diving 10M Platform,Bronze
2000,Sydney,Aquatics,Diving,"MEYER, Heiko",GER,Men,Synchronized Diving 10M Platform,Bronze
2000,Sydney,Aquatics,Diving,"LOUKACHINE, Igor",RUS,Men,Synchronized Diving 10M Platform,Gold
2000,Sydney,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,Synchronized Diving 10M Platform,Gold
2000,Sydney,Aquatics,Diving,"HU, Jia",CHN,Men,Synchronized Diving 10M Platform,Silver
2000,Sydney,Aquatics,Diving,"TIAN, Liang",CHN,Men,Synchronized Diving 10M Platform,Silver
2000,Sydney,Aquatics,Diving,"GILMORE, Rebecca",AUS,Women,Synchronized Diving 10M Platform,Bronze
2000,Sydney,Aquatics,Diving,"TOURKY, Loudy",AUS,Women,Synchronized Diving 10M Platform,Bronze
2000,Sydney,Aquatics,Diving,"LI, Na",CHN,Women,Synchronized Diving 10M Platform,Gold
2000,Sydney,Aquatics,Diving,"SANG, Xue",CHN,Women,Synchronized Diving 10M Platform,Gold
2000,Sydney,Aquatics,Diving,"HEYMANS, Emilie",CAN,Women,Synchronized Diving 10M Platform,Silver
2000,Sydney,Aquatics,Diving,"MONTMINY, Anne Katherine",CAN,Women,Synchronized Diving 10M Platform,Silver
2000,Sydney,Aquatics,Diving,"NEWBERY, Robert",AUS,Men,Synchronized Diving 3M Springboard,Bronze
2000,Sydney,Aquatics,Diving,"PULLAR, Dean",AUS,Men,Synchronized Diving 3M Springboard,Bronze
2000,Sydney,Aquatics,Diving,"XIAO, Hailiang",CHN,Men,Synchronized Diving 3M Springboard,Gold
2000,Sydney,Aquatics,Diving,"XIONG, Ni",CHN,Men,Synchronized Diving 3M Springboard,Gold
2000,Sydney,Aquatics,Diving,"DOBROSKOK, Alexandre",RUS,Men,Synchronized Diving 3M Springboard,Silver
2000,Sydney,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,Synchronized Diving 3M Springboard,Silver
2000,Sydney,Aquatics,Diving,"SOROKINA, Ganna",UKR,Women,Synchronized Diving 3M Springboard,Bronze
2000,Sydney,Aquatics,Diving,"ZHUPINA, Olena",UKR,Women,Synchronized Diving 3M Springboard,Bronze
2000,Sydney,Aquatics,Diving,"ILYINA, Vera",RUS,Women,Synchronized Diving 3M Springboard,Gold
2000,Sydney,Aquatics,Diving,"PAKHALINA, Ioulia",RUS,Women,Synchronized Diving 3M Springboard,Gold
2000,Sydney,Aquatics,Diving,"FU, Mingxia",CHN,Women,Synchronized Diving 3M Springboard,Silver
2000,Sydney,Aquatics,Diving,"GUO, Jingjing",CHN,Women,Synchronized Diving 3M Springboard,Silver
