Unnamed: 0,NOC,continent
145,FRA,Europe
187,ESP,Europe
204,NCA,America
229,KUW,Asia
279,CAN,America
341,EGY,Africa
356,TUN,Africa
478,IRI,Asia
642,JPN,Asia
666,BRA,America
724,ARG,America
770,BUL,Europe
798,NED,Europe
888,GBR,Europe
909,PAN,America
927,USA,America
1004,CUB,America
1013,PAR,America
1020,POR,Europe
1102,URS,None
1238,NZL,Oceania
1351,TCH,None
1365,GDR,None
1390,POL,Europe
1464,TTO,America
1488,AUS,Oceania
1904,SUI,Europe
1976,ROU,Europe
2166,FRG,None
2169,GRE,Europe
2270,MEX,America
2450,MAS,Asia
2567,FIN,Europe
2881,TUR,Asia
3150,KSA,Asia
3840,BEL,Europe
3966,ITA,Europe
4151,SWE,Europe
4192,URU,America
4292,YUG,None
4593,COL,America
4633,ISL,Europe
4735,IND,Asia
4882,PAK,Asia
5152,JAM,America
5207,PHI,Asia
5530,CRC,America
5555,PUR,America
6012,HUN,Europe
6278,DOM,America
6353,NOR,Europe
6380,PRK,Asia
6384,KOR,Asia
6694,DEN,Europe
6836,GUA,America
7407,ISV,America
9620,VEN,America
10495,THA,Asia
11044,AUT,Europe
11403,CIV,Africa
11689,SEN,Africa
12529,MAR,Africa
12968,MGL,Asia
14104,ISR,Asia
14904,MON,Europe
18537,BER,America
24937,LUX,Europe
26680,SUR,America
31174,LIE,Europe
32470,IRL,Europe
33891,BAH,America
35302,PER,America
36431,SMR,Europe
38278,HKG,Asia
38669,HAI,America
39082,SGP,Asia
41255,ANT,America
42403,BAR,America
42793,PNG,Oceania
52882,ECU,America
57021,AND,Europe
59393,CHI,America
65830,LIB,Asia
67587,AHO,None
70977,HON,America
85679,BOL,America
90642,INA,Asia
119942,CAY,America
123708,CMR,Africa
148023,NEP,Asia
162663,FIJ,Oceania
188096,BIZ,America
