NOC,Medal,Count
AUS,Bronze,4
AUS,Silver,1
AUT,Bronze,1
BEL,Bronze,3
BEL,Silver,3
BER,Bronze,1
BRA,Bronze,2
BUL,Bronze,7
BUL,Gold,6
BUL,Silver,9
CAN,Bronze,6
CAN,Silver,5
CUB,Bronze,3
CUB,Gold,6
CUB,Silver,4
DEN,Bronze,2
DEN,Gold,1
ESP,Silver,2
FIN,Gold,4
FIN,Silver,2
FRA,Bronze,4
FRA,Gold,2
FRA,Silver,3
FRG,Bronze,17
FRG,Gold,10
FRG,Silver,12
GBR,Bronze,5
GBR,Gold,3
GBR,Silver,5
GDR,Bronze,25
GDR,Gold,40
GDR,Silver,25
HUN,Bronze,13
HUN,Gold,4
HUN,Silver,5
IRI,Bronze,1
IRI,Silver,1
ITA,Bronze,4
ITA,Gold,2
ITA,Silver,7
JAM,Gold,1
JAM,Silver,1
JPN,Bronze,10
JPN,Gold,9
JPN,Silver,6
KOR,Bronze,4
KOR,Gold,1
KOR,Silver,1
MEX,Bronze,1
MEX,Gold,1
MGL,Silver,1
NED,Bronze,3
NED,Silver,2
NOR,Gold,1
NOR,Silver,1
NZL,Bronze,1
NZL,Gold,2
NZL,Silver,1
PAK,Bronze,1
POL,Bronze,13
POL,Gold,7
POL,Silver,6
POR,Silver,2
PRK,Gold,1
PRK,Silver,1
PUR,Bronze,1
ROU,Bronze,14
ROU,Gold,4
ROU,Silver,9
SUI,Bronze,2
SUI,Gold,1
SUI,Silver,1
SWE,Gold,4
SWE,Silver,1
TCH,Bronze,4
TCH,Gold,2
TCH,Silver,2
THA,Bronze,1
TTO,Gold,1
URS,Bronze,35
URS,Gold,49
URS,Silver,41
USA,Bronze,25
USA,Gold,34
USA,Silver,35
VEN,Silver,1
YUG,Bronze,3
YUG,Gold,2
YUG,Silver,3
