Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1976,Canada,Montreal,Romania,ROU,4,9,14
1976,Canada,Montreal,Cuba,CUB,6,4,3
1976,Canada,Montreal,Bulgaria,BUL,6,9,7
1976,Canada,Montreal,Hungary,HUN,4,5,13
1976,Canada,Montreal,Great Britain,GBR,3,5,5
1976,Canada,Montreal,Sweden,SWE,4,1,0
1976,Canada,Montreal,Finland,FIN,4,2,0
1976,Canada,Montreal,East Germany,GDR,40,25,25
1976,Canada,Montreal,Soviet Union,URS,49,41,35
1976,Canada,Montreal,Pakistan,PAK,0,0,1
1976,Canada,Montreal,United States,USA,34,35,25
1976,Canada,Montreal,Poland,POL,7,6,13
1976,Canada,Montreal,Japan,JPN,9,6,10
1976,Canada,Montreal,West Germany,FRG,10,12,17
1976,Canada,Montreal,Italy,ITA,2,7,4
1976,Canada,Montreal,Portugal,POR,0,2,0
1976,Canada,Montreal,Spain,ESP,0,2,0
1976,Canada,Montreal,Australia,AUS,0,1,4
1976,Canada,Montreal,Thailand,THA,0,0,1
1976,Canada,Montreal,Belgium,BEL,0,3,3
1976,Canada,Montreal,Netherlands,NED,0,2,3
1976,Canada,Montreal,Iran,IRI,0,1,1
1976,Canada,Montreal,Austria,AUT,0,0,1
1976,Canada,Montreal,Bermuda,BER,0,0,1
1976,Canada,Montreal,Puerto Rico,PUR,0,0,1
1976,Canada,Montreal,Mongolia,MGL,0,1,0
1976,Canada,Montreal,Venezuela,VEN,0,1,0
1976,Canada,Montreal,Brazil,BRA,0,0,2
1976,Canada,Montreal,Norway,NOR,1,1,0
1976,Canada,Montreal,North Korea,PRK,1,1,0
1976,Canada,Montreal,Jamaica,JAM,1,1,0
1976,Canada,Montreal,Canada,CAN,0,5,6
1976,Canada,Montreal,Mexico,MEX,1,0,1
1976,Canada,Montreal,Denmark,DEN,1,0,2
1976,Canada,Montreal,Switzerland,SUI,1,1,2
1976,Canada,Montreal,Yugoslavia,YUG,2,3,3
1976,Canada,Montreal,France,FRA,2,3,4
1976,Canada,Montreal,Trinidad and Tobago,TRI,1,0,0
1976,Canada,Montreal,South Korea,KOR,1,1,4
1976,Canada,Montreal,New Zealand,NZL,2,1,1
1976,Canada,Montreal,Czechoslovakia,TCH,2,2,4
